Company Common Name,Instrument,Issuer Ticker
Plastic2Oil Inc,PTOI.PK,
ChemoCentryx Inc,CCXI.OQ^J22,
VisionChina Media Inc,VISN.O^C17,
Visa Inc,V.N,V
Sculptor Capital Management Inc,SCU.N^K23,SCUX
Iveda Solutions Inc,IVDA.OQ,
Ceres Global Ag Corp,CRP.TO^G25,BAGRIC
FlexShopper Inc,FPAYQ.PK,
Community Valley Bank,CMUV.PK^I25,
Chykingyoung Investment Development Holdings Inc,CHYI.PK,
Diligent Corp(Pre-Merger),DIL.NZ^D16,
5N Plus Inc,VNP.TO,VNP
Franco-Nevada Corp,FNV.TO,FNV
Water Ways Technologies Inc,WWT.V,
Biox Corp (Pre-Merger),BX.TO^I17,
Tenaz Energy Corp,TNZ.TO,TNZ
Federal-Mogul Holdings LLC,FDML.O^A17,TENFEH
Star Jets International Inc,JETR.PK,
Ascendant Resources Inc,ASND.TO^E25,
ARMOUR Residential REIT Inc,ARR.N,ARR
Kennedy-Wilson Holdings Inc,KW.N,KW
Solutia Inc,SOA.N^G12,EMNSO
Strategic Minerals Europe Corp,SNTA.NLB^B25,
Teekay Tankers Ltd,TNK.N,TNK
Fluence Corporation Ltd,FLC.AX,
Nate's Food Co,NHMD.PK,
Geopulse Exploration Inc,GPLS.PK,
Schwabo Capital Corp,SBOh.V,
GSRX Industries Inc,GSRX.PK,
R&Q Insurance Holdings Ltd,RQIH.L^G24,RQINH
Telmex Internacional SA de CV,TELINTA.MX^E11,AMXLG
Forestar Group Inc,FOR.N,FOR
Totaligent Inc,TGNT.PK,LTMP
American Fiber Green Products Inc,AFBG.PK^J23,
Petrolia Energy Corp,BBLSQ.PK^G25,BBLSQ
Antelope Enterprise Holdings Ltd,AEHL.OQ,CIEBY
Cfn Enterprises Inc,CNFN.PK,CNFN
VPR Brands LP,VPRB.PK,
Lorillard LLC,LO.N^F15,BATSLO
Bryn Inc,BRRN.PK,
Prosper Gold Corp,PGX.V,
Malvern Bancorp Inc,MLVF.OQ^G23,MLVF
Intrepid Potash Inc,IPI.N,IPI
Columbia Pipeline Partners LP,CPPL.K^B17,TRPCL
Friendable Inc,FDBL.PK,
High Wire Networks Inc,HWNI.PK,
National American University Holdings Inc,NAUH.PK,
Fluent Inc,FLNT.OQ,FLNTX
Colossus Minerals Inc,COLUF.PK,COLUF
Dana Inc,DAN.N,DAN
EchoStar Corp,SATS.OQ,SATSX
Elevation Gold Mining Corp,ELVTh.V^C25,ELVGM
Cocrystal Pharma Inc,COCP.OQ,
Enovis Corp,ENOV.N,ENOV
FutureGen Industries Corp,LITT.V,
JRjr33 Inc,JRJRQ.PK,JRJRQ
Sound Financial Bancorp Inc,SFBC.OQ,SFBC
Emeren Group Ltd,SOL.N^L25,SOLN
Calpine Corp,CPN.N^C18,VOLTPA
Omeros Corp,OMER.OQ,OMER
Cannonau Corp,CNNC.PK,
Singularity Future Technology Ltd,SGLY.OQ,
GoTo Group Inc,LOGM.OQ^I20,LOGPAG
DallasNews Corp,DALN.OQ^I25,HSTFDA
Montfort Capital Corp,MONT.V,TCAX
First American Financial Corp,FAF.N,FAF
Freedom Holdings Inc,TAAG.PK,
Mega View Digital Entertainment Corp,MVDh.V,
Corsa Coal Corp,CSOh.V^F25,
MetaStat Inc,MTST.PK,
Alfin Banco SA,ALFINAC1.LM,
Data Storage Corp,DTST.OQ,
Philip Morris International Inc,PM.N,PM
Kraig Biocraft Laboratories Inc,KBLB.PK,
CF Energy Corp,CFY.V,
Blue Sphere Corp,BLSP.PK,
Rocky Mountain Liquor Inc,RUM.V,RUM
Regent Pacific Properties Inc,RPP.V,
NOS4-1 Inc,WLMSQ.PK^A25,NOSDA
Veste SA Estilo,VSTE3.SA,LLISC
Zenith Energy Ltd,ZENA.OL,ZENZ
Valiant Eagle Inc,PSRU.PK,
Real Goods Solar Inc,RGSEQ.PK^E22,REGSS
Hypera SA,HYPE3.SA,HYPEC
3055 Hunter Rd Estate Corp,QTMM.PK^G21,
Conavi Medical Corp,CNVI.V,
Glucose Health Inc,GLUC.PK,
AGNC Investment Corp,AGNC.OQ,AGNC
Nextplay Technologies Inc,NXTP.PK,
Eat Well Investment Group Inc,EWG.CD,
Aytu Biopharma Inc,AYTU.OQ,
Banestes SA Banco do Estado do Espirito Santo,BEES4.SA,BEESC
Scienture Holdings Inc,SCNX.OQ,
First Hydrogen Corp,FHYD.V,
CVR Partners LP,UAN.N,UAN
OSX Brasil SA,OSXB3.SA,OSXBC
DeepMarkit Corp,MKT.V,
Mawson Infrastructure Group Inc,MIGI.OQ,MIGI
Cannabis Bioscience International Holdings Inc,CBIH.PK,
Keurig Dr Pepper Inc,KDP.OQ,KDP
Iconic Brands Inc,ICNB.PK,
Ampio Pharmaceuticals Inc,AMPE.PK,
bowmo Inc,BOMO.PK,
Endurance Exploration Group Inc,EXPL.PK,
Kelyniam Global Inc,KLYG.PK,
Hillenbrand Inc,HI.N^B26,HI
West Island Brands Inc,WIB.CD,
Iridium Communications Inc,IRDM.OQ,IRDM
Zogenix Inc,ZGNX.OQ^C22,ZGNX
Therapeutic Solutions International Inc,TSOI.PK,
Organto Foods Inc,OGO.V,OGO
Fincera Inc,YUANF.PK^F25,
Northern Minerals & Exploration Ltd,NMEX.PK,
Energy Recovery Inc,ERII.OQ,ERII
SUIC Worldwide Holdings Ltd,SUIC.PK,
1933 Industries Inc,TGIF.CD,TGIF
WPD Pharmaceuticals Inc,WBIO.CD,
Companhia Celg de Participacoes CELGPar,GPAR3.SA,
BMC Bolsa Mercantil de Colombia SA,BMC.CN,
Cuentas Inc,CUEN.PK,
Assure Holdings Corp,IONM.PK,
DSG Global Inc,DSGT.PK,
Regenicin Inc,RGIN.PK,
Sprott Inc,SII.TO,SIIX
Fresnillo PLC,FRES.L,FRES
EQUATOR Beverage Company,MOJO.PK,
Quanex Building Products Corp,NX.N,NXX
Codexis Inc,CDXS.OQ,
Maxar Intelligence Inc,DGI^J17,GLEOPX
William Penn Bancorp,WMPN.OQ^E25,MPBWI
U-SWIRL Inc,SWRL.PK,
B3 SA Brasil Bolsa Balcao,B3SA3.SA,BCSAC
Urban Barns Foods Inc,URBF.PK,
Hatteras Financial Corp (Pre-Merger),HTS^G16,NLYTT
OriginClear Inc,OCLN.PK,
Rackspace Technology Global Inc,RAX^K16,RXTRT
Blink Charging Co,BLNK.OQ,BLNK
XCPCNL Business Services Corp,XCPL.PK,
AM Resources Corp,AMRh.V,
Echo Global Logistics Inc,ECHO.OQ^K21,ECHO
Hillcrest Energy Technologies Ltd,HEAT.CD,
JBT Marel Corp,JBTM.N,JBTM
Petroteq Energy Inc,PQEh.V^L25,
Kestrel Group Ltd,KG.OQ,KG
Cherubim Interests Inc,CHIT.PK,
Noranda Aluminum Holding Corp,NORNQ.PK,NORNQ
Beam Global,BEEM.OQ,
Iovance Biotherapeutics Inc,IOVA.OQ,
Golconda Gold Ltd,GG.V,GG
Primero Mining Corp,P.TO^E18,FRXPR
Aya Gold & Silver Inc,AYA.TO,AYA
Banco Daycoval SA,BDYVY.PK^J16,BADAY
Grand Canyon Education Inc,LOPE.OQ,LOPE
Global Water Resources Inc,GWRS.OQ,GWRS
Orbit Garant Drilling Inc,OGD.TO,OGDX
Consultatio SA,CTIOm.BA,
Driveitaway Holdings Inc,DWAY.PK,
Bolsa Mexicana de Valores SAB de CV,BOLSAA.MX,BOLSX
Genomma Lab Internacional SAB de CV,LABB.MX,LABB
DLT Resolution Inc,DLTI.PK,
Geltech Solutions Inc,GLTC.PK^B22,
Bancorp of New Jersey Inc,BKJ.A^A20,
Alternative Investment Corp,AIKO.PK,
Home Bancorp Inc,HBCP.OQ,HBCP
Mistras Group Inc,MG.N,MGXX
Oaktree Specialty Lending Corp,OCSL.OQ,OCSL
Scripps Networks Interactive Inc,SNI.OQ^C18,DISCAN
BluSky AI Inc,BSAI.PK,
INVO Fertility Inc,IVF.OQ,
TOMI Environmental Solutions Inc,TOMZ.OQ,
"Cannabis Global, Inc.",CBGL.PK,
Prairie Operating Co,PROP.OQ,PROPX
Trans Canada Gold Corp,TTG.V,
Black Knight InfoServ LLC,LPS.N^A14,BKIBLB
Constellation Energy Group Inc,CEG_pa.N^F13,EXCCE
Fineqia International Inc,FNQ.CD,
Nesscap Energy Inc,NCE.V^E17,
Kraken Robotics Inc,PNG.V,
Xtreme Fighting Championships Inc,XFCI.PK,
Research Solutions Inc,RSSS.OQ,
FutureFuel Corp,FF.N,FF
Duos Technologies Group Inc,DUOT.OQ,
Bergio International Inc,BRGO.PK,
Tinkerine Studios Ltd,TTDh.V,
SV Propellus Inc,PRPS.PK,
Alimera Sciences Inc,ALIM.OQ^I24,ANIPAS
Blueharbor Bank,BLHK.PK,BLHK
Kolibri Global Energy Inc,KEI.TO,KEI
Protecta SA Compania de Seguros,PROTECC1.LM,PROTE
Pharmagreen Biotech Inc,PHBI.PK,
Thalassa Holdings Ltd,THAL.L,
Marizyme Inc,MRZM.PK,MRZM
Coastal Carolina Bancshares Inc,CCNB.PK,CCNB
UV Flu Technologies Inc,UVFT.PK,
Touchmark Bancshares Inc,TMAK.PK,TMAK
Clearwater Paper Corp,CLW.N,CLW
Zurn Elkay Water Solutions Corp,ZWS.N,ZWS
Green Vitality Investment Holdings Inc,URAL.PK,
Tenet Fintech Group Inc,PKK.CD,
Select Medical Holdings Corp,SEM.N,SEM
Hemlo Mining Corp,HMMC.V,
BTCS Inc,BTCS.OQ,
Renova Energia SA Em Recuperacao Judicial,RNEW3.SA,RNEWA
ILG LLC,ILG.OQ^I18,VACVMI
HSN Inc,HSNI.OQ^A18,QVCGAH
Regenerex Pharma Inc,RGPX.PK,
genifi inc,GNFI.V^E25,
Cloud Peak Energy Inc,CLDPQ.PK^L19,CLDPQ
MYR Group Inc,MYRG.OQ,MYRG
Lendingtree Inc,TREE.OQ,TREE
Verisk Analytics Inc,VRSK.OQ,VRSK
COMSovereign Holding Corp,COMS.PK,COMS
CPFL Energias Renovaveis SA,CPRE3.SA^G20,CPFECI
Auburn Bancorp Inc,ABBB.PK,ABBB
iBio Inc,IBIO.OQ,
MRC Global Inc,MRC.N^K25,MRCX
Azul Azul SA,AZULAZUL.SN,AZULA
Pelangio Exploration Inc,PX.V,
REMSleep Holdings Inc,RMSL.PK,
Apogee 21 Holdings Inc,APHD.PK,TDCHD
Blue Line Protection Group Inc,BLPG.PK,
Patton Wings Inc,SAUC.OQ^B20,PWIDHP
Edesa Biotech Inc,EDSA.OQ,
Lingerie Fighting Championships Inc,BOTY.PK,
Riskon International Inc,ROII.PK,ROII
Fury Gold Mines Ltd,FURY.TO,
Cymbria Corp,CYB.TO,
Corporacion Davivienda Costa Rica SA,CBANEA.CJ,CBANE
Florida Ice and Farm Company SA,FIFCOa.CJ,FIFCO
Grupo Financiero Improsa SA,GIMPA.CJ^J20,GIMPA
Holcim Costa Rica SA,INCa.CJ,NOLCR
Corporacion ILG Internacional SA,CIMPa.CJ,ILGCR
La Nacion SA,NACIOa.CJ,LANAC
T-REX Acquisition Corp,TRXA.PK,
Yumy Candy Company Inc,TYUM.CD,
Realia Properties Inc,RLPh.V,RLPX
ARtelligence Holdings Inc,TTCM.PK,
Solidus Communications Inc,SLDC.PK,
SATO Technologies Corp,SATO.V,
PCT Ltd,PCTL.PK,
Un Monde International Ltd,ARMC.PK,
Change Healthcare Holdings Inc,EM.N^K11,UNHCN
Hci Group Inc,HCI.N,HCI
Mastech Digital Inc,MHH.A,MHH
Mead Johnson Nutrition Co,MJN^F17,RKTME
Ascent Capital Group Inc,ASCMA.PK^H19,ASCMA
Standard BioTools Inc,LAB.OQ,FLDM
Calyx Ventures Inc,CYXh.V,CYX
Medavail Holdings Inc,MDVLQ.PK,
Rosetta Stone Inc,RST.N^J20,CAHODR
Union el Golf SA,UNIONGOLF.SN,
Aroom Inc,NUVI.PK,
Composite Alliance Group Inc,CAG.V,
BBHC Inc,TRNX.PK^B23,TRNXX
Livewire Ergogenics Inc,LVVV.PK,
First Savings Financial Group Inc,FSFG.OQ^B26,HND
SANUWAVE Health Inc,SNWV.OQ,
Consorcio Cementero del Sur SA,CONCESI1.LM,CONCZ
BrandPilot AI Inc,BPAI.CD,BPAI
Verus International Inc,VRUS.PK,
Corix Bioscience Inc,CXBS.PK,
Viaderma Inc,VDRM.PK,
XTRA Bitcoin Inc,CBTC.PK,
Desert Mountain Energy Corp,DME.V,
Rego Payment Architectures Inc,RPMT.PK,
Digimarc Corp,DMRC.OQ,DMRC
6D Global Technologies Inc,SIXD.PK^B23,
MusclePharm Corp,MSLPQ.PK^C25,MUPHM
Meta Materials Inc,MMATQ.PK,MMATQ
Ventana Gold Corp,VEN.TO^C11,
Lilis Energy Inc,LLEXQ.PK^L20,LLEXQ
CSI Compressco LP,CCLP.OQ^D24,KGSCSI
CIBL Inc,CIBY.PK,
Universal Power Industry Corp,UPIN.PK,
Auto Parts 4Less Group Inc,FLES.PK,
Alaris Equity Partners Income Trust,AD_u.TO,ADXX
Waverunner Capital Inc,WRUN.CD,WRUN
Tennessee Valley Authority,TVC.N,TNNLL
Range Impact Inc,RNGE.PK,
Trutankless Inc,TKLS.PK,
B-Scada Inc,SCDA.PK,
GigPeak Inc,GIG^D17,NECELG
Wearable Health Solutions Inc,WHSI.PK,
Summer Energy Holdings Inc,SUME.PK,
Green Envirotech Holdings Corp,GETH.PK,
Central Bancompany Inc,CBC.OQ,CBC
Westgate Energy Inc,WGT.V,WGT
Virtus Investment Partners Inc,VRTS.N,VRTS
Zovio Inc,ZVOI.PK,ZVO
Energy and Technology Corp,ENGT.PK,
Red Vial 5 SA,RVIA5BC1.LM,RVIAE
Solar Integrated Roofing Corp,SIRC.PK,
Hybrid Coating Technologies Inc,HCTI.PK^G20,
Novus Robotics Inc,NRBT.PK,
Meridian Holdings Inc,MRDN.OQ,
Next Dynamics Inc,NEXD.PK,
Gourmet Ocean Products Inc,GOPh.V,
Quality Online Education Group Inc,QOEG.PK,
WellQuest Medical & Wellness Corp,WEQL.PK,
Till Capital Corp,TIL.V^G25,
Sobr Safe Inc,SOBR.OQ,
Medidata Solutions Inc,MDSO.OQ^J19,DASTDM
HLGCO,HLCO.PK,
Hibernia Bancorp Inc,HIBE.PK^G18,
Tonix Pharmaceuticals Holding Corp,TNXP.OQ,TNXP
Santander Consumer Bank SA,SANTCOC1.LM,CSCOZ
Pioneer Power Solutions Inc,PPSI.OQ,PPSI
LeoNovus Inc,LTV.V,
Minerco Inc,MINE.PK^G24,
SUI Group Holdings Ltd,SUIG.OQ,
Nuveen Amt-Free Municipal Value Fund,NUW.N,
Office Properties Income Trust,OPITQ.PK,OPITQ
Basanite Inc,BASA.PK,
MoneyOnMobile Inc,MOMT.PK,
Orezone Gold Corp,ORE.TO,OREX
SinglePoint Inc,SING.PK,
Riverview Financial Corp,RIVE.OQ^L21,MBPXRV
Vycor Medical Inc,VYCO.PK,
3DX Industries Inc,DDDX.PK,
C-Bond Systems Inc,CBNT.PK,
Southern Energy Corp,SOU.V,SOU
Comstock Metals Ltd,CSLh.V,
Jinzisheng Holding Group,JGHG.PK,
Incoming Inc,ICNN.PK^B22,
Alset AI Ventures Inc,GPUS.V,
Golden Minerals Co,AUMN.PK,AUMN
Fast Finance Pay Corp,FFPP.PK,
STWC Holdings Inc,STWC.PK,
Bravatek Solutions Inc,BVTK.PK,
Creative Medical Technology Holdings Inc,CELZ.OQ,
ART Digital Holdings Corp,CGAC.PK,
Dakota Plains Holdings Inc,DAKPQ.PK^A18,
Array Inc,3664.TWO,
Mining Global Inc,MNGG.PK,
Capital Power Corp,CPX.TO,CPX
Cowealth Medical Holding Co Ltd,4745.TWO,CMHOL
Territorial Bancorp Inc,TBNK.OQ^D25,
Workhorse Group Inc,WKHS.OQ,WKHS
Green Planet Bioengineering Co Ltd,GPLB.PK,
First Choice Healthcare Solutions Inc,FCHS.PK,
Quest Resource Holding Corp,QRHC.OQ,QRHC
Eaton Vance National Municipal Opportunities Trust,EOT.N,
PennyMac Mortgage Investment Trust,PMT.N,PMT
First Farmers and Merchants Corp,FFMH.PK,FFMH
Wilton Resources Inc,WIL.V,
Alterra Power Corp,AXY.TO^B18,INEAP
Galaxy Gaming Inc,GLXZ.PK,
Starwood Property Trust Inc,STWD.N,STWD
Western Asset Mortgage Capital Corp,WMC.N^L23,WMCX
Enjoy SA,ENJOY.SN,ENJOY
Prostar Holdings Inc,MAPS.V,
Invesco Mortgage Capital Inc,IVR.N,IVR
Masonite International Corp,DOOR.N^E24,DOOR
CIELO SA Instituicao de Pagamento,CIEL3.SA^I24,CIELC
KDA Group Inc,KDA.V,
Colony Capital Inc (Maryland),CLNY.K^A17,DBRGCL
Vistagen Therapeutics Inc,VTGN.OQ,
Vuzix Corp,VUZI.OQ,
Axis Auto Finance Inc,AXIS.TO^A25,AXUOF
WellTek Inc,WTKN.PK,
Lifeline Scientific Inc,LSIC.L^L16,
Innovate Corp,VATE.N,VATEX
Apollo Commercial Real Estate Finance Inc,ARI.N,ARI
Strathcona Resources Ltd,SCR.TO,SCRX
Parkit Enterprise Inc,PKT.V,
Youngevity International Inc,YGYI.PK^L23,YGYIT
Vivakor Inc,VIVK.PK,
Healthy Brain Co,TDNT.PK,
Addus Homecare Corp,ADUS.OQ,ADUS
Laredo Oil Inc,LRDC.PK,
Acerus Pharmaceuticals Corp,ASP.TO^C23,
Kartoon Studios Inc,TOON.A,TOON
WRIT Media Group Inc,WRIT.PK,
Mitesco Inc,MITI.PK,
BRC Group Holdings Inc,RILY.OQ,RILY
Hyatt Hotels Corp,H.N,HX
Healthcare Solutions Management Group Inc,HSMD.PK,
Fax Capital Corp,FXC.TO^G22,
Fortinet Inc,FTNT.OQ,FTNT
Better for You Wellness Inc,BFYW.PK,
Dole Food Company Inc,DOLE.N^K13,DFCHLD
Bioxytran Inc,BIXT.PK,
Tier One Capital LP,TLP_u.CD,
Carefusion Corp,CFN.N^C15,BDXSN
Grow Capital Inc,GRWC.PK,
Dollar General Corp,DG.N,DG
Max Sound Corp,MAXD.PK^I25,
World Color Press Inc,WC.TO^G10,TCLXW
Canuc Resources Corp,CDA.V,
Teton Advisors Inc,TETAA.PK,
GAIN Capital Holdings Inc,GCAP.N^G20,SNEXXG
Vystar Corp,VYST.PK,
Stampede Drilling Inc,SDI.V,
Verisante Technology Inc,VERh.V,
Cobalt International Energy Inc,CIEIQ.PK^D18,COINE
Rapid Dose Therapeutics Corp,DOSE.CD,
IDW Media Holdings Inc,IDWM.PK,
All for One Media Corp,AFOM.PK,
Dollarama Inc,DOL.TO,DOL
Openlane Inc,OPLN.N,OPLN
OTC Markets Group Inc,OTCM.PK,OTCM
Anthera Pharmaceuticals Inc,ANTH.PK,
Partners Bank of California,PBKX.PK,PBKX
Generation Alpha Inc,GNAL.PK,
Athens Bancshares Corp,AFCB.PK^J18,
Good Gaming Inc,GMER.PK,
Nascent Biotech Inc,NBIO.PK,
Insur SA Compania de Seguros,INSURC1.LM,
Chesapeake Lodging Trust,CHSP.N^I19,PKDTRL
R1 RCM Inc,RCM.OQ^K24,FHLO
Sunshine Agri Tech Inc,SAIh.V,
Education Management Corp,EDMCQ.PK,EDMCQ
Fibrocell Science Inc,FCSC.OQ^L19,FCSC
Kraton Corp (Delaware),KRA.N^C22,KRA
Burford Capital Ltd,BURF.L,BURF
West Technology Group LLC,WSTC.O^J17,MOOLHE
"Cullman Bancorp, Inc.",CULL.PK,CULL
Lightstream Resources Ltd,LTS.TO^J16,LIGMR
Team Health Holdings Inc,TMH^B17,TNNSPH
STR Holdings Inc,STRI.PK^J23,STRI
Pebblebrook Hotel Trust,PEB.N,PEB
Grown Rogue International Inc,GRIN.CD,
Ginsms Inc,GOK.V,
Orgenesis Inc,ORGS.PK,
Ma Kuang Healthcare Holding Ltd,4139.TWO,
Banco Nacional de Bolivia SA,BNBVY.PK,BNBVY
Generac Holdings Inc,GNRC.N,GNRC
Long Blockchain Corp,LBCC.PK^B21,LBCC
Bravo Multinational Inc,BRVO.PK,
Cetip SA Mercados Organizados,CTIP3.SA^C17,BVMFCC
Vitamin Shoppe Inc,VSI.N^L19,FRGVS
Transact Energy Corp,TEGY.PK^A25,
International Meal Company Alimentacao SA,MEAL3.SA,MEALC
Two Harbors Investment Corp,TWO.N,TWO
WestMountain Gold Inc,WMTN.PK,
Fleury SA,FLRY3.SA,FLRYC
Cenovus Energy Inc (Pre-Merger),CVE.TO,CVE
Telenav Inc,TNAV.OQ^B21,
PMET Resources Inc,PMET.TO,
Whitestone REIT,WSR.N,WSR
Primerica Inc,PRI.N,PRI
State Bank Financial Corp,STBZ.OQ^A19,BXSST
Lear Corp,LEA.N,LEA
Maxlinear Inc,MXL.OQ,MXL
Terreno Realty Corp,TRNO.N,TRNO
Columbia Seligman Premium Technology Growth Fund Inc,STK.N,
Parex Resources Inc,PXT.TO,PAREU
Quantgate Systems Inc,QGSI.PK,
Axe Compute Inc,AGPU.OQ,AGPU
Newegg Commerce Inc,NEGG.OQ,NEGG
Anchor Bancorp,ANCB.OQ^K18,ANCB
Harrys Manufacturing Inc,HARY.CD,
Fosfatos del Pacifico SA,FOSPACC1.LM,
Electro Dunas SAA,EDUNASC1.LM,EDUNA
Delivra Health Brands Inc,DHB.V,HVTX
QuinStreet Inc,QNST.OQ,
Calix Inc,CALX.N,CALX
Ironwood Pharmaceuticals Inc,IRWD.OQ,IRWD
Pool Safe Inc,POOL.V,
Yahoo Inc,AOL^F15,VZYAH
Silver X Mining Corp,AGX.V,
Sensata Technologies Holding PLC,ST.N,ST
GoGold Resources Inc,GGD.TO,
Sceptre Ventures Inc,SVPh.V,
Mobivity Holdings Corp,MFON.PK,
Ryvyl Inc,RVYL.OQ,RVYL
Cruzados SADP,CRUZADOS.SN,
Empresas Hites SA,HITES.SN,HITES
SPS Commerce Inc,SPSC.OQ,SPSC
Global SM Tech Ltd,900070.KQ,GLSMT
Kingcan Holdings Ltd,8411.TW,KIHOL
Edelman Financial Engines LLC,FNGN.OQ^G18,EDLFNE
Sprott Physical Gold Trust,PHYS.P,
First-Citizens Bank & Trust Co,CIT.N^A22,FCNCFI
Aveo Pharmaceuticals Inc,AVEO.OQ^A23,
ReachLocal Inc,RLOC.O^H16,TDAYRE
BioCorRx Inc,BICX.PK,
Pledge Petroleum Corp,PROP.PK^I21,
Pilgrims Pride Corp,PPC.OQ,PPC
Xtant Medical Holdings Inc,XTNT.A,XTNT
SuperMedia Inc,SPMD.OQ^E13,DMDAS
Architectural Aesthetics Global Development Co Ltd,2724.TWO,YNTAT
Versailles Financial Corp,VERF.PK,
Atlas Financial Holdings Inc,AFHIF.PK^J24,ATFNO
Craftport Cannabis Corp,CFT.CD,
First Interstate Bancsystem Inc,FIBK.OQ,FIBK
Empresa Ferroviaria Andina SA,52FCANU.VB^L25,
Intellistake Technologies Corp,ISTK.CD,
Canopy Growth Corp,WEED.TO,WEED
Nibsa SA,NIBSA.SN,
Cupani Metals Corp,CUPA.CD,
Financiera QAPAQ SA,QAPAQC1.LM,QAPAQ
MSG Networks Inc,MSGN.N^G21,SPHRMN
Voya Infrastructure Industrials and Materials Fund,IDE.N,
Voltari LLC,VLTC.PK^I19,
Ryerson Holding Corp,RYZ.N,RYZ
Biomax Biocombustibles SA,BIX.CN^C19,BICOM
Grupo Energia Bogota SA ESP,GEB.CN,GEB
Riopaila Castilla SA,RPI.CN,RPI
Grupo de Inversiones Suramericana SA,SIS.CN,SIS
Financiera Oh! SA,INFIXPC1.LM,FINOH
Douglas Dynamics Inc,PLOW.N,PLOW
Tesla Inc,TSLA.OQ,TSLA
BG Medicine Inc,BGMD.PK,
Multiplus SA,MPLU3.SA^D19,
APR Energy Ltd,APREN.L^B16,ATCOXA
SLR Investment Corp,SLRC.OQ,SLRC
Piedmont Realty Trust Inc,PDM.N,PDM
Mills Locacao Servicos e Logistica SA,MILS3.SA,MILSC
Northwest Healthcare Properties REIT,NWH_u.TO,NWH
Simpar SA,SIMH3.SA,SIMHC
SECURE Waste Infrastructure Corp,SES.TO,SES
Sienna Senior Living Inc,SIA.TO,SIA
DS Healthcare Group Inc,DSKX.PK^F19,
Williams Partners LP,WPZ.N^H18,WMBPA
Hudson Pacific Properties Inc,HPP.N,HPP
"EXP OldCo Winddown, Inc",EXPRQ.PK^A25,EXPWI
PetroFrontier Corp,PFC.V,
Niska Gas Storage Partners LLC,NKA^G16,NISKAN
Jinhua Capital Corp,JHC.V,
InspireMD Inc,NSPR.OQ,
Green Dot Corp,GDOT.N,GDOT
CXI Healthcare Technology Group Limited,900120.KQ,
Dogecoin Cash Inc,DOGP.PK,
Accuride Corp,ACW.N^K16,ARMPAA
Tower International Inc,TOWR.N^I19,TOWR
Mission Ready Solutions Inc,MRSh.V^B25,
Colegio La Maisonnette SA,MAISONNETT.SN^I25,MAISO
St Margaret's British School for Girls,MARGARETS.SN,MARGA
Et C&D Holdco LLC,SEMG.N^L19,ETETCD
Cboe Global Markets Inc,CBOE.Z,CBOE
Purpose Ether Staking Corporation ETF,ETHCb.NLB^B26,
Primo Water Corp (Pre merger),PRMW.OQ^C20,PRMOAP
BroadSoft Inc,BSFT.OQ^B18,CSCOB
Ecorodovias Infraestrutura e Logistica SA,ECOR3.SA,ECORC
Extorre Gold Mines Ltd,XG.TO^H12,
Almonty Industries Inc,AII.TO,AII
Srx Health Solutions Inc,SRXH.A,
Ameridge Corp,900100.KQ,NPRDC
Genmark Holdings Inc,GNMK.OQ^D21,ROGGH
Newcore Gold Ltd,NCAU.V,
Higher One Holdings Inc,ONE^H16,BULDCH
XMax Inc,XWIN.OQ,
Envestnet Inc,ENV.N^K24,BCPQBE
Jaggaer LLC,SQI.O^G16,SCIQUJ
Inmax Holding Co Ltd,1591.TWO,
Canadian Premium Sand Inc,CPS.V,
Qlik Technologies Inc,QLIK.OQ^H16,QLPARL
Tricon Residential Inc,TCN.TO^E24,TCN
Athabasca Oil Corp,ATH.TO,ATHX
Concrete Leveling Systems Inc,CLEV.PK,
Alper Consultoria e Corretora de Seguros SA,APER3.SA^I24,WPITAA
Ameresco Inc,AMRC.N,AMRC
Alpha and Omega Semiconductor Ltd,AOSL.OQ,
Global Hemp Group Inc,GHG.CD,
Ord Mountain Resources Corp,OMRh.V,
Intralinks Holdings Inc,IL^A17,SICAGL
Suzano Holding SA,NEMO5.SA,NEMOC
Golub Capital BDC Inc,GBDC.OQ,GBDC
Chatham Lodging Trust,CLDT.N,CLDT
Corpay Inc,CPAY.N,CPAYX
NeoPhotonics Corp,NPTN.N^H22,NPTN
Proteak Uno SAB de CV,TEAKCPO.MX,TEAKC
Snipp Interactive Inc,SPN.V,
Molycorp Inc,MCPIQ.PK^I16,MLYCO
Grupo Comercial Chedraui SAB de CV,CHDRAUIB.MX,CHDRA
First Eagle Alternative Capital BDC Inc,FCRD.OQ^C23,CCAPXF
Nuveen Taxable Municipal Income Fund,NBB.N,
Novo Resources Corp,NVO.TO,NVO
Petroleos del Peru Petroperu SA,PETROBC1.LM,PETRO
Albert Labs International Corp,ABRT.CD,
Twyford Ventures Inc,TWYh.V,
enCore Energy Corp,EU.V,EU
Full Circle Capital Corp,FULL.O^K16,GECCU
OFS Capital Corp,OFS.OQ,OFS
ICE Mortgage Technology Inc,ELLI.N^D19,ICEXXI
Tahoe Resources Inc,THO.TO^B19,PAAST
Cardinal Ethanol LLC,CRDE.PK,
Granite Falls Energy LLC,GFGY.PK,
Golden Growers Cooperative,GGROU.PK,
Highwater Ethanol LLC,HEOL.PK,
South 8 Energy LLC,REGX.PK^B25,SOHNG
Brookfield Canada Office Properties,BOX_u.TO^G17,BPOBOF
G-Estate Liquidation Stores Inc,GMANQ.PK^K17,
Fresh Market Inc,TFM.OQ^D16,INVSES
