Company Common Name,Instrument,Issuer Ticker
Central and Eastern Europe Fund Inc,CEE.N,
PROG Holdings Inc,PRG.N,PRG
G&K Services LLC,GK.OQ^C17,CTASG
Hartford Insurance Group Inc,HIG.N,HIG
GATX Corp,GATX.N,GATX
Abbott Laboratories,ABT.N,ABT
Abcourt Mines Inc,ABI.V,
Dominion Diamond Corp,DDC.TO^K17,WASGTO
ABIOMED Inc,ABMD.OQ^L22,JNJAB
Just Energy Group Inc,JEh.V^L22,JTEGG
Abraxas Petroleum Corp,AXOA.MU^H23,AXAS
Goldgroup Mining Inc,GGA.V,
Tri Harbor Holdings Corp,ACETQ.PK^J19,ACET
G-III Apparel Group Ltd,GIII.OQ,GIII
Morguard Corp,MRC.TO,MRC
ACMAT Corp,ACMTA.PK,ACMTA
Acme United Corp,ACU.A,ACUX
Arthur J. Gallagher & Co.,AJG.N,AJG
PetroQuest Energy Inc,PQUEQ.PK^B19,PQUGY
Alimentation Couche-Tard Inc,ATD.TO,ATD
ALUF Holdings Inc,AHIX.PK,AHIX
Liveramp Holdings Inc,RAMP.N,RAMP
Tegna Inc,TGNA.N,TGNA
Adams Diversified Equity Fund Inc,ADX.N,ADX
Adams Resources & Energy Inc,AE.A^B25,AREEUD
Gap Inc,GAP.N,GAP
Steel Excel Inc,SXCL.PK^B17,SPLPST
ADDvantage Technologies Group Inc,AEYGQ.PK,AEYGQ
Function(X) Inc,FNCX.PK^K18,FUCTI
Adobe Inc,ADBE.OQ,ADBE
Gencor Industries Inc,GENC.A,GENCX
Heron Therapeutics Inc,HRTX.OQ,HRTXX
Aerojet Rocketdyne Holdings Inc,AJRD.N^G23,LHXXA
DENTSPLY SIRONA Inc,XRAY.OQ,XRAY
General American Investors Co Inc,GAM.N,GAM
Allied Resources Inc,ALOD.PK,
Petrichor Energy Inc,PTPh.V,PTPX
General Dynamics Corp,GD.N,GD
Advanced Micro Devices Inc,AMD.OQ,AMD
Moistureshield Inc,AERT.PK^E17,CRHMOI
General Electric Co,GE.N,GE
GEE Group Inc,JOB.A,JOB
General Mills Inc,GIS.N,GIS
Peraton Enterprise Solutions LLC,EDS.N^H08,PRSPU
Agnico Eagle Mines Ltd,AEM.TO,AEM
Genesco Inc,GCO.N,GCO
