Company Common Name,Instrument,Issuer Ticker,GVKEY,Compustat_Company_Name
Groenlandsbanken A/S,GRLA.CO,GRLA,,
"November 26, Inc",BIOLQ.PK,BIOLQ,,
Jacksam Corp,JKSM.PK,JKSM,,
20230930-DK-Butterfly-1 Inc,BBBYQ.PK^J23,BDKUT,,
Compania de Empaques SA,CEM.CN,CEMXZ,,
Industrias ESTRA SA,EST.CN,EST,,
Angel Wing Metals Inc,AWM.V,,,
CB Wind-Down Corp,CBKCQ.PK,CBKCQ,,
Garcia Reguera SACIF e I,REGEm.BA,,,
Leyden SAIC y F,LEIDm.BA,,,
Molinos Juan Semino SA,SEMIm.BA,MOJUS,,
Morixe Hermanos SACI,MORIm.BA,MORIX,,
Administradora de Fondos de Pensiones y Cesantia Proteccion SA,SPR.CN,SPRXX,,
1st FSB of SC Inc,FSGB.PK,,,
Longvie SA,LONGm.BA,LONG,,
Empresa Distribuidora y Comercializadora Norte SA,EDNm.BA,EDN,,
Caputo SAIC y F,CAPUm.BA,,,
First Commonwealth Financial Corp,FCF.N,FCF,,
Caremark Rx Inc,CMX.N^C07,CVSCA,,
Major Drilling Group International Inc,MDI.TO,MDI,,
Lanesborough Real Estate Investment Trust,LRT_u.V^K25,LRT,,
Spectra Products Inc,SSA.V,,,
Silver Lake Ontario Inc,HRT.TO^A22,,,
Besalco SA,BESALCO.SN,BESAX,,
Peoples Trust Company of St Albans,PPAL.PK,PPAL,,
Skechers USA Inc,SKX.N^I25,SKX,,
Cyber Enviro-Tech Inc,CETI.PK,,,
Arch Biopartners Inc,ARCH.V,,,
Westinghouse Air Brake Technologies Corp,WAB.N,WAB,,
Lehman Brothers Holdings Inc,LEHMQ.PK^C12,LEHBO,,
RevoluGROUP Canada Inc,REVO.V,,,
Embpar Participacoes SA,EPAR3.SA,EPARC,,
Unipar Carbocloro SA,UNIP6.SA,UNIPF,,
Pryxie Liquidation Corp,PRXIQ.PK,PRXIQ,,
Clearday Inc,CLRD.PK,CLRD,,
Central Urbana SA,URBm.BA,,,
National Bank of Coxsackie,NCXS.PK,NCXS,,
Jolt Health Inc,JOLT.CD,,,
Empresa Agraria Chiquitoy SA,CHIQUIC1.LM,,,
BlackRock Investment Quality Municipal Trust Inc,BKN.N^B26,BKN,,
Fictor Alimentos SA,FICT3.SA,ATOMZ,,
Bioma Educacao SA,BIED3.SA,BAHIC,,
Banco do Estado do Para SA,BPAR3.SA,BPARC,,
Baumer SA,BALM4.SA,,,
Banco do Estado de Sergipe SA,BGIP3.SA,BGIPD,,
Bicicletas Monark SA,BMKS3.SA,,,
American Cannabis Company Inc,AMMJ.PK,AMMJ,,
Advent-AWI Holdings Inc,AWI.V,,,
Banco Do Brasil SA,BBAS3.SA,BBASC,,
Rede Energia Participacoes SA,REDE3.SA,REDEC,,
United States Antimony Corp,UAMY.A,,,
Dohler SA,DOHL3.SA,,,
Light SA,LIGT3.SA,LIGTC,,
Hiscox Ltd,HSX.L,HSX,,
Companhia de Fiacao e Tecidos Cedro Cachoeira,CEDO3.SA,CEDOD,,
El Puerto de Liverpool SAB de CV,LIVEPOLC1.MX,LIVEP,,
Reklaim Ltd,MYID.V,,,
New Wei Inc,WLTGQ.PK^E19,NWWEI,,
Construtora Adolpho Lindenberg SA,CALI3.SA,CALIZ,,
Haga SA Industria e Comercio,HAGA4.SA,,,
Afinida Inc,TREP.PK,TREP,,
Raia Drogasil S/A,RADL3.SA,RADLC,,
Procyon Corp,PCYN.PK,PCYN,,
Nordon Industrias Metalurgicas SA,NORD3.SA,NORDC,,
Vulcabras S/A,VULC3.SA,VULCC,,
ORBX Holdings Ltd,DMC.AX^H24,,,
SHL Liquidation Industries Inc,SHLOQ.PK^F21,SHLLI,,
Enerflex Systems Income Fund,EFX_u.TO^C10,TIHEN,,
Creation Technologies New York Inc,IEC.OQ^J21,CRTCHI,,
Highlands Bankshares Inc (West Virginia),HBSI.PK,HBSI,,
Companhia Melhoramentos de Sao Paulo,MSPA3.SA,MSPAC,,
Intouch Insight Ltd,INX.V,,,
Clearford Water Systems Inc,CLIRF.PK,,,
Fabricato SA,FHT.CN,FHT,,
Inversiones Venecia SA,IVV.CN,IVV,,
Corporacion Interamericana de Entretenimiento SAB de CV,CIEB.MX,CIEB,,
Totally Hip Technologies Inc,THP.V,,,
Great Canadian Gaming Corp (Pre-Merger),GC.TO^I21,RPTINT,,
FVI Fondo de Valores Inmobiliarios SACA,FVIb.CR,FOVAIN,,
Medica Sur SAB de CV,MEDICAB.MX,MEDIC,,
Revlon Inc,REVRQ.PK^E23,REV,,
Grupo Argos SA,ARG.CN,ARGXZ,,
Banco de Bogota SA,BBO.CN,BBO,,
Banco Bilbao Vizcaya Argentaria Colombia SA,BGA.CN,BGA,,
Banco de Occidente SA,BOC.CN,BOC,,
Cementos Argos SA,CCB.CN,CCB,,
Clinica de Marly SA,CDM.CN,CDMX,,
Corporacion Financiera Colombiana SA,CFV.CN,CFVX,,
Corporacion de Ferias y Exposiciones SA Usuario Operador de Zona Franca,COR.CN,,,
Grupo Mexicano de Desarrollo SAB,GMD.MX,GMD,,
Nuveen Missouri Quality Municipal Income Fund,NOM.N,,,
Grimoldi SA,GRIMm.BA,,,
Gelstat Corp,GSAC.PK,GSAC,,
ENGIE Energia Chile SA,ECL.SN,ECLX,,
Keurig Green Mountain Inc,GMCR.OQ^C16,KDPKE,,
Exchange Bank,EXSR.PK,EXSR,,
Banco Provincial SA Banco Universal,BPV.CR,BPV,,
Invex Controladora SAB de CV,INVEXA.MX,INVEX,,
Procorp SAB de CV,PROCORPB.MX,,,
Grupo Bolivar SA,SCA.CN,SCAX,,
Tytan Cybernetics Inc,NIHK.PK,YTNCS,,
Nuveen Virginia Quality Municipal Income Fund,NPV.N,NPV,,
Suburban Propane Partners LP,SPH.N,SPH,,
Manufacturas de Cemento SA,MCS.CN,MCSX,,
SmartCentres Real Estate Investment Trust,SRU_u.TO,SRU,,
Jubilee Gold Exploration Ltd,JUBh.V,,,
YPF SA,YPFDm.BA,YPFD,,
Lumbee Guaranty Bank,LUMB.PK,LUMB,,
Ferrovia Centro-Atlantica SA,VSPT3.SA,VSPTC,,
La Positiva Seguros y Reaseguros SAA,POSITIC1.LM,POSIT,,
Invesco California Value Municipal Income Trust,VCV.N,,,
Agricola Nacional SAC e I,ANASAC.SN^D24,,,
Lexmark International Inc,LXK.N^K16,NISTRM,,
Sierra Metals Inc (Pre-Merger),SMT.TO^H25,ALPYNI,,
Iguatemi SA,IGTI3.SA,IGTIC,,
Bewhere Holdings Inc,BEW.V,,,
Guidehouse Inc,NCI.N^J19,GUEHDU,,
Altos Hornos de Mexico SAB de CV,AHMSA.MX,AHMSA,,
Consorcio Aristos SAB de CV,ARISTOSA.MX,,,
Randoncorp SA,RAPT4.SA,RAPTD,,
Controladora Comercial Mexicana SAB de CV,COMEUBC.MX^G16,COMEU,,
Cydsa SAB de CV,CYDSASAA.MX,CYDSA,,
Corporacion Moctezuma SAB de CV,CMOCTEZ.MX,CMOCT,,
Grupo KUO SAB de CV,KUOB.MX,KUOB,,
Grupo Vasconia SAB,VASCONI.MX,VASCO,,
General de Seguros SAB,GENSEG.MX^F21,GSEG,,
Grupo Financiero Inbursa SAB de CV,GFINBURO.MX,GFINB,,
Value Grupo Financiero SAB de CV,VALUEGFO.MX,VALUE,,
Grupo Bursatil Mexicano SA de CV Casa de Bolsa,GBMO.MX,GBMO,,
Grupo Financiero Interacciones SA de CV,GFINTERO.MX^G18,GFINT,,
Casa de Bolsa Finamex SAB de CV,FINAMEXO.MX,FINAM,,
GCC SAB de CV,GCC.MX,GCC,,
Grupo Herdez SAB de CV,HERDEZ.MX,HERDE,,
Sigma Foods SAB de CV,SIGMAFA.MX,ALFAA,,
Grupo Posadas SAB de CV,POSADASA.MX,POSAD,,
Organizacion Cultiba SAB de CV,CULTIBAB.MX,CULTI,,
Internacional de Ceramica SAB de CV,CERAMICB.MX^L24,CERAM,,
La Latinoamericana Seguros SA,LASEG.MX,,,
Compania Minera Autlan SAB de CV,AUTLANB.MX,AUTLA,,
Himexsa SAB de CV,HIMEXSAA.MX,HIMEX,,
Grupo Financiero Multiva SAB de CV,GFMULTIO.MX,GFMUL,,
Organizacion Soriana SAB de CV,SORIANAB.MX,SORIA,,
Telefonos de Mexico SAB de CV,TMXLF.PK^A25,AMXLD,,
Grupo TMM SAB,TMMA.MX,TMMA,,
Vitro SAB de CV,VITROA.MX,VITRO,,
APOLLO BioWellness Inc,KOAN.PK,KOAN,,
Agrium Inc (Pre-Merger 1),AGU.TO^A18,NTRAR,,
Sao Paulo Turismo SA,AHEB3.SA,,,
First Real Estate Investment Trust of New Jersey Inc,FREVS.PK,,,
Farmacias Benavides SAB de CV,BEVIDESB.MX,BEVID,,
Royal Caribbean Cruises Ltd,RCL.N,RCL,,
II-VI OptoElectronic Devices Inc,ANAD.OQ^C16,IIVIO,,
CAP SA,CAP.SN,CAP,,
Cerveceria Modelo de Mexico S de RL de CV,GMODELOC.MX^J15,ABIGM,,
Matthews International Corp,MATW.OQ,MATW,,
First Citizens National Bank of Upper Sandusky OH,FSDK.PK,,,
Minera Andina de Exploraciones SAA,ANDEXBC1.LM,,,
Old Holdco Inc,PYXSQ.PK^H20,PYYXO,,
Banco Popular SA,BPO.CN,BPOX,,
Bantec Inc,BANT.PK,,,
Banco Comercial AV Villas SA,VLL.CN,VLLX,,
Quinenco SA,QUINENCO.SN,QUINE,,
Omron Robotics & Safety Technologies Inc,ADEP.OQ^J15,OMRONO,,
Hub Group Inc,HUBG.OQ,HUBG,,
Sociedad de Inversiones Pampa Calichera SA,CALICHERAA.SN,OROBLC,,
Empresas CMPC SA,CMPC.SN,CMPC,,
Cementos Bio Bio SA,CEMENTOS.SN,CEMEN,,
AES Andes SA,AESANDES.SN^D24,AESEG,,
Almendral SA,ALMENDRAL.SN,ALME,,
Concha y Toro Winery Inc,CONCHATORO.SN,CONCHA,,
Companias CIC SA,CIC.SN,CICI,,
Colbun SA,COLBUN.SN,COLBU,,
Empresas Copec SA,COPEC.SN,COPECX,,
Cristalerias de Chile SA,CRISTALES.SN,CRIST,,
Watt's SA,WATTS.SN,WATTS,,
AFP Cuprum SA,CUPRUM.SN,,,
Envases del Pacifico SA,EDELPA.SN,EDELP,,
Compania Electro Metalurgica SA,ELECMETAL.SN,ELECM,,
Compania General de Electricidad SA,CGE.SN,CGEX,,
Aguas Andinas SA,AGUASA.SN,AGUAS,,
Sociedad de Inversiones Campos Chilenos SA,CAMPOS.SN,CAMPOS,,
Empresa Nacional de Telecomunicaciones SA,ENTEL.SN,ENTEL,,
Enaex SA,ENAEX.SN,ENAEX,,
Compania Chilena de Fosforos SA,FOSFOROS.SN,FOSFO,,
Empresas Gasco SA,GASCO.SN,GASCO,,
AFP Habitat SA,HABITAT.SN,,,
Empresas Iansa SA,IANSA.SN,IANSA,,
Blumar SA,BLUMAR.SN,BLUMA,,
Melon SA,MELON.SN,MELON,,
Minera Valparaiso SA,MINERA.SN,MNRVL,,
Maritima de Inversiones SA,MARINSA.SN,,,
Grupo Empresas Navieras SA,NAVIERA.SN,NAVIE,,
Sociedad de Inversiones Oro Blanco SA,OROBLANCO.SN,OROBL,,
Forestal Constructora y Comercial del Pacifico Sur SA,PASUR.SN,FORPA,,
Empresa Electrica Pehuenche SA,PEHUENCHE.SN,PEHUE,,
Empresa Electrica Pilmaiquen SA,PIL.SN^D16,,,
AFP Provida SA,PROVIDA.SN,PROVI,,
Vina Santa Rita SA,SANTARITA.SN,SANTZ,,
Soquimich Comercial SA,SOQUICOM.SN,,,
Vina San Pedro Tarapaca SA,VSPT.SN,INVRVS,,
AFP Capital SA,AFPCAPITAL.SN,,,
Inversiones Tricahue SA,TRICAHUE.SN,,,
Central Azucarera Chucarapi Pampa Blanca SA,CHUCARC1.LM,,,
Compania Sud Americana de Vapores SA,VAPORES.SN,VAPOR,,
Puerto Ventanas SA,VENTANAS.SN,VENTA,,
Zona Franca de Iquique SA,ZOFRI.SN,ZOFRI,,
"SS&C Gids, Inc",DST.N^D18,SSNCD,,
Banco Internacional del Peru SAA,INTERBC1.LM,INTEX,,
Peru Holding de Turismo SAA,PHTBC1.LM,,,
Battle North Gold Corp (Pre-Merger),BNAU.TO^E21,EVNBE,,
Bicecorp SA,BICE.SN,BICEC,,
Cohen & Steers Total Return Realty Fund Inc,RFI.N,RFI,,
Philux Global Group Inc,PHIL.PK,,,
APA Corp (US),APA.OQ,APA,,
DM Financeira SA Credito Financiamento e Investimento,DMFN3.SA^F25,DMCORA,,
Bank of the James,BOTJ.OQ,BOTJBK,,
FNB Corp,FNB.N,FNB,,
Coro Global Inc,CGLO.PK,CGLO,,
Promotora y Operadora de Infraestructura SAB de CV,PINFRA.MX,PINFR,,
Grupo Nacional Provincial SAB,GNP.MX,GNP,,
First National Bank of Dennison,FIDS.PK,,,
Grupo Bimbo SAB de CV,BIMBOA.MX,BIMBO,,
Recycling Asset Holdings Inc,IDSA.OQ^L19,RCYHO,,
Forward Air Corp (Delaware),FWRD.OQ,FWRD,,
Criterium Energy Ltd,CEQ.V,,,
Solvay Bank,SOBS.PK,SOLVYS,,
Viterra Inc (Pre-Merger),VT.TO^L12,GLENXB,,
Mid-America Apartment Communities Inc,MAA.N,MAA,,
Forzani Group Ltd,FGL.TO^H11,CTCFO,,
Companhia de Eletricidade do Estado da Bahia COELBA,CEEB3.SA,CEEBC,,
0915988 BC Ltd,OIL.L^L15,OIABC,,
Green Leaf Innovations Inc,GRLF.PK,GRLF,,
Gemini Corp (Pre-Merger),GKX.V^E18,,,
Vibra Energia SA,VBBR3.SA,VBBRC,,
Orbia Advance Corporation SAB de CV,ORBIA.MX,ORBIA,,
HUB International Ltd,HBILF.PK^F02,HCKINI,,
Boldt SA,BOLTm.BA,BOLT,,
Capex SA,CAPXm.BA,CAPX,,
TFCF Corp,TFCFA.OQ^C19,DISTF,,
Inversiones Nutravalor SA,NUTRAVALOR.SN,NUTRA,,
Kwikclick Inc,KWIK.PK,KWIK,,
Grupo Industrial Saltillo SAB de CV,GISSAA.MX,GISSA,,
Alimentos Derivados de la Cana SA,DES.CN,DES,,
Colombina SA,CLM.CN,CLM,,
CB&I Group Inc,SHAW.N^B13,MDRTCO,,
Central Costanera SA,CECO2m.BA,CECOB,,
Compania de Electricidad de Tulua SA ESP,ELE.CN,ELEZ,,
Celsia Colombia SA ESP,CSA.CN,CSA,,
Riopaila Agricola SA,IRP.CN,IRP,,
Fondo Ganadero del Tolima SA,FGN.CN,FGN,,
Distribuidora de Gas Cuyana SA,DGCU2m.BA,,,
Bank of Utica,BKUT.PK,,,
Essbio SA,ESSBIOA.SN,ESSBI,,
American Picture House Corp,APHP.PK,,,
Ackroo Inc,AKR.V^D25,,,
Carlos Casado SA,CADOm.BA,CACSA,,
Jonestown Bank and Trust Co of Jonestown Pennsylvania,JBTC.PK,,,
Celulosa Argentina SA,CELU5m.BA,CELUE,,
Souza Cruz Ltda,CRUZ3.SA^L15,CRUZ,,
Fiplasto SA,FIPLm.BA,FIPL,,
Holcim Argentina SA,HARGm.BA,HARG,,
Grupo Financiero Valores SA,VALOo.BA^F19,GFVA,,
Molinos Rio de la Plata SA,MOLIm.BA,MOLI,,
Papel Prensa SAICF y de M,PREN1m.BA,,,
Minasmaquinas SA,MMAQ3.SA,,,
Cleveland-Cliffs Steel Holding Corp,AKS.N^C20,CLFSH,,
Pacific Ventures Group Inc,PACV.PK,PACV,,
TreeHouse Private Brands Inc,RAH.N^A13,THSTP,,
Hamlin Bank And Trust Co,HMLN.PK,,,
Baltic International USA Inc,BISA.PK,BISA,,
Charles River Laboratories International Inc,CRL.N,CRL,,
Antarchile SA,ANTARCHILE.SN,ANTAR,,
Grupo Concesionario del Oeste SA,OESTm.BA,OEST,,
AmeriCrew Inc,ACRU.PK,,,
Marriott International Inc,MAR.OQ,MAR,,
Grupo Elektra SAB de CV,ELEKTRA.MX,ELEKT,,
Solucion Empresa Administradora Hipotecaria SA,SOLUCIC1.LM,SOLUX,,
Grupo Security SA,SECURITY.SN^J25,SECUR,,
Decibel Cannabis Company Inc,DB.V,DB,,
Austral Group SAA,AUSTRAC1.LM,AUSTX,,
IEB Construcciones SA,IEBm.BA,,,
Kirkland Lake Gold Ltd (Pre-Merger),KL.TO^B22,KL,,
SA San Miguel AGICI y F,SAMIm.BA,SAMI,,
Affiliated Computer Services Inc,ACS.N^B10,CNDTCU,,
AFP Integra SA,INTEGRC1.LM,,,
Profuturo AFP SA,PROFUTC1.LM,PROFU,,
Banco Ripley Peru SA,BRIPLEC1.LM,BRIPL,,
Red Bicolor de Comunicaciones SAA,RBCBC1.LM,,,
Empresa Azucarera El Ingenio SAA,INGENIC1.LM,,,
Canada Rare Earth Corp,LL.V,,,
G Collado SAB de CV,COLLADO.MX,COLLA,,
Compania de Transporte de Energia Electrica en Alta Tension Transener SA,TRANm.BA,TRAN,,
International Speedway Corp,ISCA.OQ^J19,NASCAI,,
Invercap SA,INVERCAP.SN,INVERZ,,
Masisa SA,MASISA.SN,MASIZ,,
City View Green Holdings Inc,CVGR.CD,,,
ZCL Composites Inc (Pre-Merger),ZCL.TO^D19,,,
Adya Inc,ADYA.V,,,
Valores Simesa SA,VAL.CN,VALXX,,
Mirgor SACIFIA,MIRGm.BA,MIRG,,
Canadian Apartment Properties Real Estate Investment Trust,CAR_u.TO,CARX,,
MRS Logistica S/A,MRSA5B.SO,MRSLOG,,
Business Warrior Corp,BZWR.PK,,,
Caracol Television SA,CTV.CN,CTVX,,
Glencore Canada Corp (Pre-Merger),FAL_pa.TO^G08,GLENXC,,
Visionstate Corp,VIS.V,,,
Perlite Canada Inc,PCI.V^C19,,,
Apartment Investment and Management Co,AIV.N,AIV,,
PBG SA,PTBL4.SA^A08,PTBLC,,
Infodema SA,INFODEMA.SN,,,
Peruvian Metals Corp,PER.V,,,
Accel SAB de CV,ACCELSAB.MX,ACCEZ,,
Corporacion Geo SAB de CV,GEOB.MX^H21,GEOB,,
Wharf Estates Singapore Pte Ltd,WPSL.SI^J18,WPSL,,
Union Inmobiliaria SA,CLUBUNION.SN,,,
Bolsa de Comercio de Santiago Bolsa de Valores SA,BOLSASTGO.SN,,,
Inversiones Covadonga SA,COVADONGA.SN,,,
Zurich Chile Seguros Generales SA,CONSOGRAL.SN,CONSO,,
Empresa Electrica de Magallanes SA,EDELMAG.SN,EDELM,,
Vinedos Emiliana SA,EMILIANA.SN,,,
Compania de Inversiones la Espanola SA,ESPANOLA.SN,,,
Inmobiliaria Central de Estacionamientos Agustinas SA,ESTACIONAM.SN,,,
Portuaria Cabo Froward SA,FROWARD.SN,,,
Sociedad Hipodromo Chile SA,HIPODROMOA.SN,,,
Inversiones Union Espanola SA,INVIESPA.SN,,,
Clinica las Condes SA,LASCONDES.SN,LASCO,,
Compania Electrica del Litoral SA,LITORAL.SN,,,
Molibdenos y Metales SA,MOLYMET.SN,MOLYM,,
Old Grangonian Club SA,OLDBOYS.SN,,,
Parque Arauco SA,PARAUCO.SN,PARAUX,,
Cemento Polpaico SA,POLPAICO.SN,POLPA,,
Club de Polo y Equitacion San Cristobal SA,POLO.SN,,,
Seguros Vida Security Prevision SA,PREVISION.SN^J25,PREVI,,
Quemchi SA,QUEMCHI.SN,,,
Rebrisa SA,REBRISAA.SN,,,
Sociedad Agricola la Rosa Sofruco SA,SOFRUCO.SN,SOFRU,,
Inversiones Siemel SA,SIEMEL.SN,,,
Hipermarc SA,HIPERMARC.SN,,,
Soprocal Calerias e Industrias SA,SOPROCAL.SN,,,
Valparaiso Sporting Club SA,SPORTING.SN,,,
Inversiones Unespa SA,UNESPA.SN,,,
Fruticola Viconto SA,VICONTO.SN,,,
Compania Industrial el Volcan SA,VOLCAN.SN,VOLCX,,
Connacher Oil and Gas Ltd (Pre-Merger),CLC.TO^F16,CNCOGC,,
Companhia de Gas de Sao Paulo COMGAS,CGAS5.SA,CGASX,,
Northland Power Inc (Ontario),NPI.TO,NPI,,
Canyon Creek Food Company Ltd,CYF.V,,,
Ranchero Gold Corp,RNCH.V,RNCH,,
Realbotix Corp,XBOT.V,,,
John Hancock Financial Opportunities Fund,BTO.N,,,
Centrais Eletricas Brasileiras SA - Eletrobras,AXIA6.SA,ELETF,,
Grupo Mexico SAB de CV,GMEXICOB.MX,GMEXX,,
Steelcase Inc (Pre-Merger),SCS.N^L25,SCSU,,
Ternium Argentina SA,TXARm.BA,TXAR,,
EMX Royalty Corp (Pre-Merger),EMX.V^K25,,,
Falabella SA,FALABELLA.SN,FALAB,,
TV Azteca SAB de CV,AZTECACPO.MX,AZTEC,,
Total Servicios Financieros Empresa de Creditos,TOTALSC1.LM,STOTA,,
Quilicura SA,QUILICURA.SN,,,
Guidant LLC,GDT.N^D06,BSXGDD,,
Coca Cola Embonor SA,EMBONORB.SN,EMBON,,
Urbanfund Corp,UFC.V,UFC,,
Instituto de Diagnostico SA,INDISA.SN,INDISA,,
Companhia Energetica do Ceara,COCE5.SA,COCEE,,
Optimind Pharma Corp,OMND.CD,,,
Affinor Growers Inc,AFI.CD,,,
Rossi Residencial SA - em Recuperacao Judicial,RSID3.SA,RSIDC,,
Quest Pharmatech Inc,QPT.V,,,
Choice Point Inc,CPS.N^I08,RELCP,,
Scheid Vineyards Inc,SVIN.PK,SVIN,,
Nxgen Brands Inc,NXGB.PK,NXGB,,
Union de Cervecerias Peruanas Backus y Johnston SAA,BACKUAC1.LM,BACKU,,
Denarius Metals Corp,DMET.NLB,DMET,,
Empresa Agroindustrial Pomalca SAA,POMALCC1.LM,,,
Sustainable Green Team Ltd,SGTM.PK,,,
Casa Grande SAA,CASAGRC1.LM,CASAZ,,
NamSys Inc,CTZ.V,,,
Santos Brasil Participacoes SA,STBP3.SA^J25,STBPC,,
Seychelle Environmental Technologies Inc,SYEV.PK,,,
Alexandria Real Estate Equities Inc,ARE.N,ARE,,
Access-Power & Co Inc,ACCR.PK,ACCRA,,
Endexx Corp,EDXC.PK,EDXC,,
Banvida SA,BANVIDA.SN,BANVX,,
Horizon Group Properties Inc,HGPI.PK,HGPI,,
CMR SAB de CV,CMRB.MX,CMRBX,,
General Copper Gold Corp,GGLD.CD,,,
Pepsi Bottling Group Inc,PBG.N^C10,PEPBOT,,
IotaComm Inc,IOTC.PK^D22,,,
EMAE Empresa Metropolitana de Aguas e Energia SA,EMAE4.SA,EMAED,,
Kona Gold Beverage Inc,KGKGD.PK,,,
Adynxx Inc,ADYX.PK,ADYX,,
First Colombia Gold Corp,FCGD.PK,,,
Marbella Country Club SA,MARBELLACC.SN,,,
AmSurg Corp,AMSG.O^L16,EVHCA,,
Homeland Nickel Inc,SHL.V,,,
JD Bank,JDVB.PK,JDVB,,
Corporacion Cervesur SAA,COCESUC1.LM,COCES,,
RCN Television SA,TRR.CN,TRR,,
Middlebury National Corp,MDVT.PK,MDVT,,
Level 3 Parent LLC,LVLT.N^K17,LUMNL,,
New Frontier Ventures Inc,VFIx.CD,GFI,,
Genentech Inc,DNA.N^C09,ROGING,,
CitroTech Inc,CITR.A,CITR,,
IRC Retail Centers LLC,IRC.N^C16,DRADVR,,
Apollo Silver Corp,APGO.V,,,
Quickfood SA,PATYm.BA^E24,MBRFCQ,,
Metrospaces Inc,MSPC.PK,,,
Electro Sur Este SAA,ESUREBC1.LM,,,
Ballston Spa Bancorp Inc,BSPA.PK,BSPA,,
Corporativo Fragua SAB de CV,FRAGUAB.MX,FRAGU,,
Sociedad Minera Corona SA,MINCORI1.LM,,,
Data443 Risk Mitigation Inc,ATDS.PK,,,
FRMO Corp,FRMO.PK,FRMO,,
Creditex SAA,CRETEXC1.LM,CRETZ,,
Hallmark Venture Group Inc,HLLK.PK,,,
Middletown Valley Bank,CMHF.PK,CMHF,,
Anworth Mortgage Asset Corp (Pre-merger),ANH.N^C21,ANH,,
Quality Industrial Corp,QIND.PK,,,
Banco Falabella Peru SA,BANFALC1.LM,BANFA,,
Pacifico Compania de Seguros y Reaseguros,PACIFIC1.LM,PACIX,,
Cartavio SAA,CARTAVC1.LM,CARTX,,
Waddell & Reed Financial Inc,WDR.N^E21,WDR,,
Shougang Hierro Peru SAA,SHPC1.LM,,,
Mapfre Peru Vida Compania de Seguros y Reaseguros,MAPFSGC1.LM,,,
Naturgy BAN SA,GBANm.BA,GBAN,,
Preferred Bank,PFBC.OQ,PFBC,,
Del Monte Foods Co,DLM.N^C11,SJMLM,,
Chubb Peru SA Compania de Seguros y Reaseguros,CHUBSGC1.LM,,,
Horizon Orphan Holdings LLC,RPTP.O^J16,HZNPHA,,
Rocket Mortgage LLC,RCCK.O^L99,RKTXR,,
Companhia Catarinense de Aguas e Saneamento Casan,CASN4.SA,CASND,,
Banco del Caribe CA Banco Universal,ABCa.CR,ABCXX,,
Bradespar SA,BRAP4.SA,BRAPX,,
UKG Inc,ULTI.OQ^E19,UNTPRU,,
Elektro Redes SA,EKTR3.SA,EKTRD,,
Vantor Parent Inc,MAXR.N^E23,GLEOPA,,
Interseguro Compania de Seguros SA,INTSEGC1.LM,INTSX,,
Magnetic North Acquisition Corp,MNC.V,,,
First Community Corp (South Carolina),FCCO.OQ,FCCO,,
REG-UB Properties LLC,UBA.N^H23,WXB,,
Shougang Generacion Electrica SAA,SHOUGEC1.LM,,,
Enel Generacion Piura SA,EGEPIBC1.LM,,,
Kinetic Seas Inc,KSEZ.PK,,,
Reco International Group Inc,RGI.V,,,
Banco Hipotecario Sociedad Anonima,BHIPm.BA,BHIP,,
Companhia de Bebidas das Americas Ambev,AMBV4.SA^K13,ABIBD,,
Virtu ITG Holdings LLC,ITG.N^C19,VIRTVH,,
AmeraMex International Inc,AMMX.PK,,,
DigitalTown Inc,DGTW.PK,DGTW,,
Audacy Inc (Pre-Reincorporation),AUDAQ.PK^J24,AUDAY,,
AS-IP Tech Inc,IPTK.PK,IPTK,,
Aquarius Platinum Ltd,AQP.AX^D16,AQPLA,,
First Bitcoin Capital Corp,BITCF.PK,,,
Roust Corp (Pre-Reincorporation),CEDCQ.PK^F13,RSST,,
Cogna Educacao SA,COGN3.SA,COGNC,,
Reunion Neuroscience Inc (Pre-Merger),REUN.TO^H23,,,
Peregrine Industries Inc,PGID.PK,PGIDX,,
Matamec Explorations Inc,MAT.V^G18,,,
HighCom Global Security Inc,HCGS.PK,HCGS,,
Sao Carlos Empreendimentos e Participacoes SA,SCAR3.SA,SCARC,,
Gulf & Pacific Equities Corp,GUF.V,,,
Equatorial Maranhao Distribuidora de Energia SA,EQMA5B.SO,EQMAE,,
Ybyra Capital SA,YBRA3.SA^A25,,,
Jim Thorpe Neighborhood Bank,JTNB.PK,,,
Chino Commercial Bancorp,CCBC.PK,,,
NovAccess Global Inc,XSNX.PK,XSNX,,
Pegasus Mercantile Inc,LOAN.CD,,,
Drazcanna Inc,DZCA.PK,,,
CIRCOR International Inc,CIR.N^J23,CUBEBC,,
Sociedad Minera el Brocal SAA,BROCALC1.LM,,,
Deep Green Waste & Recycling Inc,DGWR.PK,,,
Pacific Sands Inc,PFSD.PK^C19,PFSD,,
Kaya Holdings Inc,KAYS.PK,,,
BELLUS Health Inc (Pre Merger),BLU.TO^F23,GSKBE,,
Regenerative Medical Technology Group Inc,RMTG.PK,,,
Nuveen California Quality Municipal Income Fund,NAC.N,NAC,,
Intercorp Peru Ltd,INTCOBC1.LM^A24,INTCB,,
Synthes Inc,SYST.VX^F12,JNJSN,,
Companhia Distribuidora de Gas do Rio de Janeiro CEG,CEGR3.SA,,,
Cobra Venture Corp,CBV.V,,,
Rio Paranapanema Energia SA,GEPA3.SA,GEPAC,,
ISA Energia Brasil SA,ISAE4.SA,TRPLD,,
Table Trac Inc,TBTC.PK,,,
