Company Common Name,Instrument,Issuer Ticker,GVKEY,Compustat_Company_Name
Minefinders Corporation Ltd (Pre-Merger),MFL.TO^D12,PAASN,,
ReVolve Renewable Power Corp,REVV.CD,REVV,,
Red Back Mining Inc,RBI.TO^I10,RDBCK,,
TCF Financial Corp (Pre-Merger),TCF.OQ^F21,HBANTF,,
Moog Inc,MOGa.N,MOG,,
Novartis Vaccines and Diagnostics Inc,CHIR.OQ^D06,NOVND,,
Paul Mueller Co,MUEL.PK,MUEL,,
Circuit City Stores Inc,CC.N^K08,CCTYS,,
Reading International Inc,RDI.OQ,RDI,,
Ingeal SAB de CV,INGEALB.MX^E25,,,
Cornerstone Strategic Investment Fund Inc,CLM.A,,,
Gerdau Ameristeel Corp,GNA.TO^I10,GGBRDE,,
BOMCBD Corp,FMYR.PK,FMYR,,
Cogeco Inc,CGO.TO,CGO,,
Colonial Bancgroup Inc,CBCGQ.PK^L10,COLBG,,
Nature's Bounty Co,NTY.N^J10,CRLYNA,,
Prosegur Services Group Inc,MOC.A^B19,PRGUS,,
Goliath Film and Media Holdings,GFMH.PK,GFMH,,
Canacol Energy Ltd (Alberta),CNE.TO^L25,CNNEQ,,
Pacific GeoInfo Corp,PGOh.V,,,
New Tymbal Resources Ltd,NTB.V,,,
Consolidated Firstfund Capital Corp,FFP.V,,,
XPO CNW Inc,CNW.N^J15,XPOCN,,
Steak N Shake Co,BH.N^E18,BHXTH,,
Former BL Stores Inc,BIGGQ.PK,BIGGQ,,
Cooper Companies Inc,COO.OQ,COO,,
Niagara Mohawk Power Corp,NMKBP.PK,NGNMP,,
Josapar Joaquim Oliveira SA Participacoes,JOPA4.SA,JOPAC,,
Nike Inc,NKE.N,NKE,,
Countrywide Financial Corp (Pre-Merger),CFC.N^G08,BACCWD,,
Cracker Barrel Old Country Store Inc,CBRL.OQ,CBRL,,
Non-Invasive Monitoring Systems Inc,NIMU.PK,NIMU,,
Lanxess Solutions US Inc,CHMT.N^D17,LXSGDL,,
North Fork Bancorp Inc,NFB.N^L06,COFNF,,
Olive Resource Capital Inc,OC.V,OCXX,,
Reworld Holding Corp,CVA.N^K21,COVMRE,,
Micro Focus Software Inc,NOVL.OQ^D11,MCROI,,
Sierra Wireless Services America Holdings Inc,NMRX.OQ^L17,SMTCSS,,
Legend Power Systems Inc,LPS.V,,,
Banco de Credito del Peru,CREDITC1.LM,CREDI,,
Dell Inc,DELL.OQ^J13,DELLD,,
Data Watts Partners Inc,DWTZ.CD,DWTZ,,
Indiva Ltd,NDVAh.V^F25,,,
Gold River Productions Inc,GRPS.PK,GRPSX,,
Dillard's Inc,DDS.N,DDS,,
Eletropaulo Metropolitana Eletricidade de Sao Paulo SA,ELPL3.SA^K19,AEBRET,,
Dow Jones & Company Inc,DJ.N^L07,NWSAJ,,
Mahwah Bergen Retail Group Inc,ASNAQ.PK^C21,MAHBR,,
BNY Mellon Strategic Municipal Bond Fund Inc,DSM.N,,,
EIDP Inc,CTA_pa.N,CTA,,
Companhia Energetica de Brasilia CEB,CEBR3.SA,CEBRE,,
EMC Corp,EMC.N^I16,DELLE,,
Hunter Douglas NV,HUDN.AS^J22,CGCAPH,,
Slb NV,SLB.N,SLB,,
Sociedad Comercial del Plata SA,COMEm.BA,COMEX,,
Playgon Games Inc,DEAL.V,DEAL,,
Invesco Trust for Investment Grade Municipals,VGM.N,,,
Turbotville National Bank The,TVNB.PK,,,
Peoples Bancorp of North Carolina Inc,PEBK.OQ,PEBK,,
Applied Biosystems Inc,ABI.N^K08,TMOFIO,,
PharmChem Inc,PCHM.PK^H25,PCHEM,,
Running Fox Resource Corp,RUNh.V,,,
Irwin Naturals Inc,IWIN.CD,IWINQ,,
Dow Chemical Co,DOW.N^I17,DOWDC,,
Potash Corporation of Saskatchewan Inc,POT.TO^A18,NTRPO,,
Presidential Realty Corp,PDNLB.PK,PDNLB,,
Inversiones Equipos y Servicios SA,INE.CN,INEX,,
Hongkong Land Holdings Ltd,HKLD.SI,JARDHO,,
SFA Holdings Inc,SKS.N^K13,HBSFAF,,
Archstone Smith Trust,ASN.N^J07,AVBUAS,,
Companhia Industrial Cataguases,CATA3.SA,,,
Link Parks Inc,PSB.N^G22,PSBXP,,
Quaker Chemical Corp,KWR.N,KWR,,
Quebecor Inc,QBRb.TO,QBR,,
Enbridge EOG Holdings II Corp,STR.N^I16,ENBENG,,
"BOARDRIDERS, INC.",ZQKSQ.PK^B16,BOARR,,
GTECH Holdings Corp,GTK.N^H06,IGTTH,,
Strikewell Energy Corp,SKK.V,,,
Iron Bridge Resources Inc (Pre-Merger),IBR.TO^K18,VELENU,,
Replenish Nutrients Holding Corp,ERTH.CD,ERTH,,
Sennen Potash Corp,SNh.V,,,
7936567 Canada Inc,SWY.TO^J19,GICCA,,
Rocky Mountain Chocolate Factory Inc (Delaware),RMCF.OQ,RMCF,,
Rohm and Haas Co,ROH.N^D09,DOWDCS,,
Banmedica SA,BANMEDICA.SN^C20,BAN,,
Atlas Engineered Products Ltd,AEP.V,,,
Companhia Tecidos Santanense,CTSA3.SA,,,
Safeco Corp,SAF.N^I08,LBRTSF,,
Wetzel SA,MWET4.SA,MWETD,,
CGTEL SAPI de CV,TELECOMA1.MX^A11,AMXLC,,
Gas Natural del Oriente SA ESP,GNO.CN,GNO,,
Lyondellbasell Advanced Polymers Inc,SHLM.OQ^H18,SLMNP,,
Construcciones Civiles SA,CCI.CN,CCIX,,
Domec Cia de Artefactos Domesticos SAICF,DOMEm.BA,,,
United States Lime & Minerals Inc,USLM.OQ,USLM,,
E W Scripps Co,SSP.OQ,SSP,,
Security National Financial Corp,SNFCA.OQ,SNFCA,,
Shaw Communications Inc (Pre-Reincorporation),SJRb.TO^D23,SJR,,
PrimeWest Energy Trust,PWI_u.TO^A08,TAQAP,,
Old Claimco LLC,CEC.N^B14,APHCEO,,
Microchip Storage Solutions LLC,PMCS.OQ^A16,MCHPMS,,
Simmons First National Corp,SFNC.OQ,SFNC,,
Health Net Inc (Pre-Merger),HNT.N^C16,CNCHE,,
Smith International LLC,SII.N^H10,SLBSM,,
Solectron Corp,SLR.N^J07,FLEXER,,
Dominion Energy South Carolina Inc,SCG_p.N^L09,DSCNA,,
First South Bancorp Inc (WASHINGTON NC),FSBK.OQ^K17,CAROT,,
Shyft Group Inc,SHYF.OQ^G25,AEBIS,,
Sparton Corp (Pre-Merger),SPA.N^C19,ESLTSP,,
Cia Hering,HGTX3.SA^I21,CIAHE,,
Agroguachal SA,AGG.CN,,,
Calatlantic Group Inc (Pre-Merger),CAA.N^B18,LENCTU,,
Vitality Products Inc,VPI.V,,,
Starrex International Ltd,STX.CD^F25,,,
Mercantil Servicios Financieros CA,MVZb.CR,MVZ,,
Industrias Penoles SAB de CV,PEOLES.MX,PEOLE,,
Umpqua Holdings Corp,UMPQ.OQ^C23,COLBUM,,
Compania Agricola San Felipe SA,ASF.CN,ASF,,
ETC Sunoco Holdings LLC,SUN.N^J12,ETSUNO,,
Manor Care Inc,HCR.N^L07,CGMAN,,
Suncor Energy Inc (Canada),SU.TO,SU,,
Companhia Habitasul de Participacoes,HBTS5.SA,,,
TCF Financial Corp (Pre Merger),TCF.N^H19,HBANTC,,
Secure Blockchain Development Corp,ID.V,,,
TJX Companies Inc,TJX.N,TJX,,
TRC Companies Inc,TRR.N^F17,BOINPT,,
Borgwarner Massachusetts Inc,SEV.O^I17,BWABM,,
Tektronix Inc,TEK.N^K07,FTVXT,,
TVA Group Inc,TVAb.TO,TVAX,,
Online Vacation Center Holdings Corp,ONVC.PK,,,
Infinera Optical Holding Inc,TLAB.OQ^L13,NOKIIO,,
Saba Capital Income & Opportunities Fund II,SABA.N,SBIOP,,
Pluz Energia Peru SAA,PLUZENC1.LM,ENDIS,,
Empresa Editora el Comercio SA,ELCOMEI1.LM,,,
Castrovirreyna Compania Minera en Liquidacion SA,CASTROC1.LM,,,
ABB Installation Products Inc,TNB.N^E12,ABBNTB,,
Navarino SA,NAVARINO.SN,,,
Tintina Mines Ltd,TTS.V,,,
Lojas Renner SA,LREN3.SA,LRENC,,
Torstar Corp (Pre-Merger),TSb.TO^H20,TOSTAT,,
Textil RenauxView S/A,TXRX3.SA,,,
BRB-Banco de Brasilia SA,BSLI3.SA,BSLIC,,
Tri-Continental Corp,TY.N,TY,,
UST LLC (Delaware),UST.N^A09,USTLC,,
Rassini SAPI de CV,RASSINICPO.MX^K20,RASSN,,
Wilmington Capital Management Inc,WCMa.TO,WCM,,
Taurus Armas SA,TASA4.SA,,,
Anheuser-Busch Companies LLC,BUD.N^K08,ABIANB,,
Digital Commodities Inc,DIGI.CD,DGCMS,,
,DIGI.CD,,,
Grounded Lithium Corp,GRD.V,,,
Perimeter Medical Imaging AI Inc,PINK.V,,,
Scryb Inc,SCYB.CD,,,
Cemex SAB de CV,CEMEXCPO.MX,CEMEX,,
Walgreens Holding Co,WBA.OQ^H25,BZSTPW,,
WMI Holdings Corp,WAMUQ.PK^C12,COOPXW,,
Rio Alto Mining Ltd (Pre-Merger),RIO.TO^D15,TAHOXI,,
Companhia de Tecidos Norte de Minas Coteminas em Recuperacao Judicial,CTNM4.SA^B26,CTNMD,,
Bonal International Inc,BONL.PK,,,
Pepsiamericas Inc (Pre-Merger),PAS.N^C10,PEPAME,,
Zenabis Global Inc,ZENA.TO^F21,TLRYZG,,
Mene Inc,MENE.V,,,
WM Wrigley Jr Co,WWY.N^J08,MARSIW,,
International Zeolite Corp,IZh.V,,,
Triad Pro Innovators Inc,TPII.PK,TPII,,
Leadventure Inc,ARIS.O^H17,TRWNDV,,
Suntory Global Spirits Inc,BEAM.N^E14,KOBUKU,,
Nexa Resources Atacocha SAA,ATACOAC1.LM,ATACO,,
Banco Mercantil do Brasil SA,BMEB4.SA,BMEBD,,
Monteiro Aranha SA,MOAR3.SA^B26,MOARC,,
Foreign Trade Bank of Latin America Inc,BLX.N,BLX,,
Administradora del Comercio SA,ADCOMEC1.LM^L25,BCO,,
Minsur SA,MINSURI1.LM,MINSU,,
Perubar SA,PERUBAI1.LM,,,
Southern Peru Copper Corporation (Lima Branch),SPCCPI1.LM,SPCCP,,
Indeco SA,INDECOI1.LM,,,
Unacemcorp SAA,UNACEMC1.LM,UNACX,,
Scotiabank Peru SAA,SCOTIAC1.LM,BNSP,,
Banco BBVA Peru SA,BBVAC1.LM,BBVAC,,
Rimac Seguros y Reaseguros,RIMSEGC1.LM,RIMSE,,
Ferreycorp SAA,FERREYC1.LM,FERRZ,,
Cerveceria San Juan SA,SNJUANC1.LM,,,
Bayer SA,BAYERI1.LM^G24,,,
Fabrica Peruana Eternit SA,ETERNII1.LM,,,
Filamentos Industriales SA,FILAMEI1.LM,,,
Arca Continental Lindley SA,CORLINI1.LM^K22,CORLX,,
Michell y Cia SA,MICHEI1.LM,,,
Nuveen Select Maturities Municipal Fund,NIM.N,,,
Agroindustrias San Jacinto SAA,SNJACIC1.LM,SNJAC,,
Siderurgica JL Aliperti SA,APTI3.SA,,,
Invesco Advantage Municipal Income Trust II,VKI.A,,,
Agrometal SAI,AGROm.BA,AGROQ,,
Grupo Financiero Banorte SAB de CV,GFNORTEO.MX,GFNOR,,
Cyrela Brazil Realty SA Empreendimentos e Participacoes,CYRE3.SA,CYREC,,
Alpargatas SA,ALPA4.SA,ALPAD,,
Azevedo & Travassos SA,AZEV4.SA,,,
Excelsior Alimentos SA,BAUH4.SA,,,
Banco da Amazonia SA,BAZA3.SA,BAZAC,,
Bardella SA Industrias Mecanicas em Recuperacao Judicial,BDLL4.SA,,,
Banco Mercantil de Investimentos SA,BMIN3.SA,,,
Banco do Nordeste do Brasil SA,BNBR3.SA,BNBRC,,
Bombril SA,BOBR4.SA,BOBRD,,
Ampla Energia e Servicos SA,CBEE3.SA,CBEEC,,
Commercial National Financial Corp (Michigan),CEFC.PK,CEFC,,
Grazziotin SA,CGRA4.SA,,,
Energy of Minas Gerais Co,CMIG4.SA,CMIGD,,
Mercer International Inc,MERC.OQ,MERC,,
Karsten SA,CTKA4.SA,CTKAD,,
Trecora LLC,TREC.N^F22,BMLSPT,,
Electro Aco Altona SA,EALT4.SA,,,
Mundial SA Produtos de Consumo,MNDL3.SA,MNDLC,,
WEG SA,WEGE3.SA,WEGEC,,
Manufatura de Brinquedos Estrela SA,ESTR4.SA,ESTRX,,
Eternit SA Em Recuperacao Judicial,ETER3.SA,,,
Eucatex SA Industria e Comercio,EUCA4.SA,EUCAD,,
Companhia de Ferro Ligas da Bahia Ferbasa,FESA4.SA,FESAD,,
Metalurgica Gerdau SA,GOAU4.SA,GOAUD,,
Guararapes Confeccoes SA,RIAA3.SA,GUARC,,
Hercules SA Fabrica de Talheres,HETA4.SA,HETAD,,
Hoteis Othon SA - em Recuperacao Judicial,HOOT4.SA,,,
Inepar SA Industria e Construcoes em Recuperacao Judicial,INEP4.SA,INEPDI,,
Itausa SA,ITSA4.SA,ITSAD,,
Joao Fortes Engenharia SA,JFEN3.SA,JFENC,,
Lojas Americanas SA,LAME4.SA^A22,SVELAJ,,
MAHLE Metal Leve SA,LEVE3.SA,MAHSTV,,
Cemepe Investimentos SA,MAPT4.SA,,,
Mendes Junior Engenharia SA,MEND6.SA^A20,MENDF,,
Mercantil Financeira SA Credito Financiamento e Investimento,MERC3.SA,,,
Mangels Industrial SA,MGEL4.SA,MGELD,,
Metisa Metalurgica Timboense SA,MTSA4.SA,,,
Plascar Participacoes Industriais SA,PLAS3.SA,PLASC,,
Panatlantica SA,PATI4.SA,,,
Paranapanema SA Em Recuperacao Judicial,PMAM3.SA,PMAMC,,
Dimed SA Distribuidora de Medicamentos,PNVL3.SA,PNVLC,,
Marcopolo SA,POMO4.SA,POMOD,,
Pettenati SA Industria Textil,PTNT3.SA,PTNTD,,
Irani Papel e Embalagem SA,RANI3.SA,RANIC,,
Recrusul SA,RCSL4.SA,RCSLD,,
Alfa Holdings SA,RPAD3.SA,AFORTA,,
Metalurgica Riosulense SA,RSUL4.SA,RSULD,,
WLM Participacoes e Comercio de Maquinas e Veiculos SA,WLMM4.SA,WLMMD,,
Sansuy SA Industria de Plasticos em Recuperacao Judicial,SNSY5.SA,SNSYE,,
Sondotecnica Engenharia de Solos SA,SOND5.SA,,,
Frasle Mobility SA,FRAS3.SA,FRASZ,,
Teka Tecelagem Kuehnrich Sa Em Recuperacao Judicial,TEKA4.SA^C25,TEKAD,,
Telecomunicacoes Brasileiras SA - Telebras,TELB4.SA,TELBD,,
Tronox Pigmentos do Brasil SA,CRPG5.SA,TIBRAS,,
Tekno SA Industria e Comercio,TKNO4.SA,,,
Tupy SA,TUPY3.SA,TUPYC,,
Usinas Siderurgicas de Minas Gerais SA USIMINAS,USIM5.SA,USIME,,
Grupo Casas Bahia SA,BHIA3.SA,VIIAC,,
Martinrea International Inc,MRE.TO,MREX,,
Compania Minera Santa Luisa SA,LUISAI1.LM,,,
Leche Gloria SA,GLORIAI1.LM,GLORI,,
Industrias Electroquimicas SA,IEQSAI1.LM,,,
Manufactura de Metales y Aluminio Record SA,RECORDI1.LM,,,
Corporacion Aceros Arequipa SA,CORAREC1.LM,CORAR,,
Quimpac SA,QUIMPAC1.LM,QMPAC,,
GR Holding SA,GRHOLDC1.LM,,,
Inversiones en Turismo SA,INVERTC1.LM,,,
Fabrica Nacional de Acumuladores Etna SA,ETNAI1.LM,,,
Industria Textil Piura SA,PIURAC1.LM,,,
Compania Universal Textil SA en liquidacion,UNITEXC1.LM,UNITZ,,
Epicore Bionetworks Inc,EBN.V^L17,,,
Saga Falabella SA,SAGAC1.LM,SAGAZ,,
