Company Common Name,Instrument,Issuer Ticker,GVKEY,Compustat_Company_Name
Orrstown Financial Services Inc,ORRF.OQ,ORRF,111819.0,ORRSTOWN FINANCIAL SVCS INC
Inversiones Centenario SAA,INVCENC1.LM,INVCX,,
Hasbro Inc,HAS.OQ,HAS,5518.0,HASBRO INC
Amgen Inc,AMGN.OQ,AMGN,1602.0,AMGEN INC
Allient Inc,ALNT.OQ,AMOTX,5520.0,ALLIENT INC
Haverty Furniture Companies Inc,HVT.N,HVT,,
Hawaiian Electric Industries Inc,HE.N,HE,5526.0,HAWAIIAN ELECTRIC INDS
Hawkins Inc,HWKN.OQ,HWKN,5530.0,HAWKINS INC
Healthcare Services Group Inc,HCSG.OQ,HCSG,5539.0,HEALTHCARE SERVICES GROUP
Healthpeak Properties Inc,DOC.N,DOC,13125.0,HEALTHPEAK PROPERTIES INC
Encompass Health Corp,EHC.N,EHC,12589.0,ENCOMPASS HEALTH CORP
Health Management Associates LLC,HMA.N^A14,CYHMN,12338.0,HEALTH MANAGEMENT ASSOC
EQC Liquidating Trust,EQC.N^E25,EQCLI,15457.0,ALP LIQUIDATING TRUST
Welltower Inc,WELL.N,WELL,5543.0,WELLTOWER INC
Heartland Express Inc,HTLD.OQ,HTLD,12840.0,HEARTLAND EXPRESS INC
Hecla Mining Co,HL.N,HL,5560.0,HECLA MINING CO
BioSyent Inc,RX.V,,106808.0,BIOSYENT INC
HEICO Corp,HEI.N,HEI,5567.0,HEICO CORP
Kraft Heinz Foods Co,HNZ.N^F13,KHCIZ,,
Helen of Troy Ltd,HELE.OQ,HELE,5572.0,HELEN OF TROY LTD
Firan Technology Group Corp,FTG.TO,,20483.0,FIRAN TECHNOLOGY GROUP CORP
Helmerich and Payne Inc,HP.N,HP,5581.0,HELMERICH & PAYNE
Hemisphere Energy Corp,HME.V,,5583.0,HEMISPHERE ENERGY CORP
