index,lseg_name,lseg_clean,compustat_name,compustat_clean,gvkey,score
3441,Kingsway Financial Services Inc,KINGSWAY FINANCIAL SERVICES,KINGSWAY FINANCIAL SVCS INC,KINGSWAY FINANCIAL SVCS,61743,92
3445,Sociedad Quimica y Minera de Chile SA,SOCIEDAD QUIMICA Y MINERA DE CHILE SA,SOC QUIMICA Y MINERA DE CHI,SOC QUIMICA Y MINERA DE CHI,28883,84
3446,Chicago Bridge & Iron Company NV,CHICAGO BRIDGE IRON NV,CHICAGO BRIDGE & IRON CO,CHICAGO BRIDGE IRON,64549,93
3448,Herzfeld Credit Income Fund Inc,HERZFELD CREDIT INCOME FUND,HERZFELD CREDIT INCM FND INC,HERZFELD CREDIT INCM FND,30232,94
3455,Current Water Technologies Inc,CURRENT WATER TECHNOLOGIES,CURRENT WATER TECHGS INC,CURRENT WATER TECHGS,140185,87
3460,Titan Pharmaceuticals Inc,TITAN PHARMACEUTICALS,VITAE PHARMACEUTICALS INC,VITAE PHARMACEUTICALS,21422,90
3469,Vulcan Minerals Inc,VULCAN MINERALS,VULCAN MATERIALS CO,VULCAN MATERIALS,11228,84
3472,Grupo Qumma SAB de CV,GRUPO QUMMA SAB DE CV,GRUMA SAB DE CV,GRUMA SAB DE CV,222519,83
3485,SouthState Bank Corp,SOUTHSTATE BANK,SOUTH STATE BANK CORP,SOUTH STATE BANK,64547,97
3494,Rock Ridge Resources Inc,ROCK RIDGE RESOURCES,SKY RIDGE RESOURCES LTD,SKY RIDGE RESOURCES,179199,87
3498,Environmental Waste International Inc,ENVIRONMENTAL WASTE,ENVIRONMENTAL WASTE INTL,ENVIRONMENTAL WASTE INTL,140370,88
3503,Mentor Capital Inc,MENTOR CAPITAL,ENCORE CAPITAL GROUP INC,ENCORE CAPITAL,121815,86
3504,Intellipharmaceutics International Inc,INTELLIPHARMACEUTICS,INTELLIPHARMACEUTICS INTL,INTELLIPHARMACEUTICS INTL,183739,89
3507,Yum! Brands Inc,YUM! BRANDS,YUM BRANDS INC,YUM BRANDS,65417,100
3514,Awaysis Capital Inc,AWAYSIS CAPITAL,AXIS CAPITAL HOLDINGS LTD,AXIS CAPITAL,153130,81
3522,NU Skin Enterprises Inc,NU SKIN ENTERPRISES,NU SKIN ENTERPRISES  -CL A,NU SKIN ENTERPRISES CL A,64028,88
3525,Royale Energy Funds Inc,ROYALE ENERGY FUNDS,ROYALE ENERGY INC,ROYALE ENERGY,28791,81
3540,Greenbrier Companies Inc,GREENBRIER COMPANIES,GREENBRIER COS INC (THE),GREENBRIER COS,30463,82
3550,Transportadora de Gas del Norte SA,TRANSPORTADORA DE GAS DEL NORTE SA,TRANSPORTADORA DE GAS DEL SU,TRANSPORTADORA DE GAS DEL SU,30838,87
3555,Bluegreen Vacations Holding Corp,BLUEGREEN VACATIONS HOLDING,BLUEGREEN VACATIONS HOL CORP,BLUEGREEN VACATIONS HOL,39571,92
3571,Condor Hospitality Trust Inc,CONDOR HOSPITALITY TRUST,CONDOR HOSPITALITY TR INC,CONDOR HOSPITALITY TR,31095,93
3578,Parexel International (MA) Corp,PAREXEL MA,PAREXEL INTERNATIONAL CORP,PAREXEL,61600,82
3593,Blonder Tongue Laboratories Inc,BLONDER TONGUE LABORATORIES,BLONDER TONGUE LABS INC,BLONDER TONGUE LABS,61712,83
3595,Wisconsin Public Service Corp,WISCONSIN PUBLIC SERVICE,WISCONSIN PUBLIC SERVICE CP,WISCONSIN PUBLIC SERVICE CP,65095,94
3603,Pioneer Bankshares Inc,PIONEER BANKSHARES,UNION BANKSHARES INC,UNION BANKSHARES,111537,82
3605,Trevisa Investimentos SA,TREVISA INVESTIMENTOS SA,PATRIA INVESTMENTS LTD,PATRIA INVESTMENTS,37776,81
3612,Thermal Energy International Inc,THERMAL ENERGY,THERMAL ENERGY INTL INC,THERMAL ENERGY INTL,108507,85
3613,Mission Bancorp,MISSION BANCORP,MISSION BANCORP/CA,MISSION BANCORP/CA,117845,91
3615,General Cable Corp,GENERAL CABLE,GENERAL CABLE CORP/DE,GENERAL CABLE /DE,25405,90
3629,Quantrx Biomedical Corp,QUANTRX BIOMEDICAL,QUANTRX BIOMEDICAL CP,QUANTRX BIOMEDICAL CP,14451,92
3631,Centerspace,CENTERSPACE,CENTRESPACE,CENTRESPACE,65640,91
3632,Axion Power International Inc,AXION POWER,MAXIM POWER CORP,MAXIM POWER,123456,82
3644,CH Robinson Worldwide Inc,CH ROBINSON WORLDWIDE,C H ROBINSON WORLDWIDE INC,C H ROBINSON WORLDWIDE,65609,98
3671,YI Po International Holding Ltd,YI PO HOLDING,HPIL HOLDING,HPIL HOLDING,175531,80
3676,Interactive Intelligence Group Inc,INTERACTIVE INTELLIGENCE,INTERACTIVE INTELLIGENCE GRP,INTERACTIVE INTELLIGENCE GRP,124038,92
3723,Genesee & Wyoming Inc,GENESEE WYOMING,GENESEE & WYOMING INC  -CL A,GENESEE WYOMING CL A,63123,86
3725,Intersil Corp,INTERSIL,INTEROIL CORP,INTEROIL,148130,88
3742,Iteration Energy Ltd,ITERATION ENERGY,ERIN ENERGY CORP,ERIN ENERGY,184652,81
3748,Mettler-Toledo International Inc,METTLER TOLEDO,METTLER-TOLEDO INTL INC,METTLER TOLEDO INTL,65772,85
3756,Blockchain Industries Inc,BLOCKCHAIN INDUSTRIES,CCA INDUSTRIES INC,CCA INDUSTRIES,11930,80
3782,Children's Place Inc,CHILDREN S PLACE,CHILDRENS PLACE INC,CHILDRENS PLACE,65430,90
3791,Denny's Corp,DENNY S,DENNYS CORP,DENNYS,19398,92
3793,Plains All American Pipeline LP,PLAINS ALL AMERICAN PIPELINE LP,PLAINS ALL AMER PIPELNE  -LP,PLAINS ALL AMER PIPELNE LP,116029,91
3801,Capitol Federal Financial Inc,CAPITOL FEDERAL FINANCIAL,CAPITOL FEDERAL FINL INC,CAPITOL FEDERAL FINL,119414,89
3802,Spectrum Brands Legacy Inc,SPECTRUM BRANDS LEGACY,SPECTRUM BRANDS HOLDINGS INC,SPECTRUM BRANDS,65459,81
3807,Canaf Investments Inc,CANAF INVESTMENTS,CION INVESTMENT CORP,CION INVESTMENT,23984,81
3811,Eaton Vance Municipal Income Trust,EATON VANCE MUNICIPAL INCOME TRUST,EATON VANCE MUNI INCOME TR,EATON VANCE MUNI INCOME TR,117842,87
3813,Coinstar LLC,COINSTAR,COSTAR GROUP INC,COSTAR,112111,86
3815,CommScope LLC,COMMSCOPE,COMSCORE INC,COMSCORE,177780,82
3819,Trigon Metals Inc,TRIGON METALS,TRILOGY METALS INC,TRILOGY METALS,171111,81
3830,MTL Cannabis Corp,MTL CANNABIS,IM CANNABIS CORP,IM CANNABIS,36519,87
3834,MMX - Mineracao e Metalicos SA Falida,MMX MINERACAO E METALICOS SA FALIDA,MMX MINERACAO E METALICOS SA,MMX MINERACAO E METALICOS SA,278461,89
3845,Wal Mart de Mexico SAB de CV,WAL MART DE MEXICO SAB DE CV,WAL MART DE MEXICO S A B D,WAL MART DE MEXICO S A B D,105104,85
3848,Orbital Infrastructure Group Inc,ORBITAL INFRASTRUCTURE,MOBILE INFRASTRUCTURE CORP,MOBILE INFRASTRUCTURE,38762,88
3855,Thompson Creek Metals Company Inc (Colorado),THOMPSON CREEK METALS COLORADO,THOMPSON CREEK METALS CO INC,THOMPSON CREEK METALS,122266,82
3862,Southern First Bancshares Inc,SOUTHERN FIRST BANCSHARES,SOUTHERN FIRST BANKSHARES,SOUTHERN FIRST BANKSHARES,125580,96
3867,Optimus Healthcare Services Inc,OPTIMUS HEALTHCARE SERVICES,HEALTHCARE SERVICES GROUP,HEALTHCARE SERVICES,5539,83
3868,Nexera Energy Inc,NEXERA ENERGY,NEXTERA ENERGY INC,NEXTERA ENERGY,4517,96
3870,InterRent Real Estate Investment Trust,INTERRENT REAL ESTATE INVESTMENT TRUST,INTERRENT REAL ESTATE INV TR,INTERRENT REAL ESTATE INV TR,128078,85
3881,Nutraceutical International Corp,NUTRACEUTICAL,NUTRACEUTICAL INTL CORP,NUTRACEUTICAL INTL,66496,84
3890,Fab-Form Industries Ltd,FAB FORM INDUSTRIES,ABM INDUSTRIES INC,ABM INDUSTRIES,1410,85
3897,Acas LLC,ACAS,VACASA INC,VACASA,38288,80
3900,First Bancorp of Indiana Inc,FIRST BANCORP OF INDIANA,FIRST BANCORP INDIANA INC,FIRST BANCORP INDIANA,119436,93
3901,Chase Packaging Corp,CHASE PACKAGING,ASIA PACKAGING GROUP INC,ASIA PACKAGING,187129,83
3911,First Niagara Financial Group Inc,FIRST NIAGARA FINANCIAL,FIRST NIAGARA FINANCIAL GRP,FIRST NIAGARA FINANCIAL GRP,109683,92
3922,Novra Technologies Inc,NOVRA TECHNOLOGIES,NOVADAQ TECHNOLOGIES INC,NOVADAQ TECHNOLOGIES,166224,89
3929,Village Bank and Trust Financial Corp,VILLAGE BANK AND TRUST FINANCIAL,VILLAGE BANK AND TRUST FINL,VILLAGE BANK AND TRUST FINL,140938,92
3934,Midwestone Financial Group Inc (IOWA),MIDWESTONE FINANCIAL IOWA,MIDWESTONE FINANCIAL GROUP,MIDWESTONE FINANCIAL,65796,89
3935,Peyto Exploration & Development Corp,PEYTO EXPLORATION DEVELOPMENT,PEYTO EXPLORATION & DEVELPMT,PEYTO EXPLORATION DEVELPMT,106156,95
3944,Casella Waste Systems Inc,CASELLA WASTE SYSTEMS,E-WASTE SYSTEMS INC,E WASTE SYSTEMS,185701,83
3945,United Community Financial Corp,UNITED COMMUNITY FINANCIAL,UNITED COMMUNITY FINL CORP,UNITED COMMUNITY FINL,112410,89
3951,Grupe SAB de CV,GRUPE SAB DE CV,GRUMA SAB DE CV,GRUMA SAB DE CV,222519,87
3954,Sempra,SEMPRA,CEMPRA INC,CEMPRA,190580,83
3956,Internap Holding LLC,INTERNAP HOLDING,INTEGRYS HOLDING INC,INTEGRYS HOLDING,11555,81
3958,Marksmen Energy Inc,MARKSMEN ENERGY,MEREN ENERGY INC,MEREN ENERGY,105786,81
3967,Autonomy Corp Ltd,AUTONOMY,OTONOMY INC,OTONOMY,21145,80
3972,Genesis Land Development Corp,GENESIS LAND DEVELOPMENT,GENESIS LAND DEVELOPMENT CP,GENESIS LAND DEVELOPMENT CP,113421,94
3977,Pinnacle Financial Partners Inc,PINNACLE FINANCIAL PARTNERS,PINNACLE FINL PARTNERS INC,PINNACLE FINL PARTNERS,139025,90
3981,Asian Television Network International Ltd,ASIAN TELEVISION NETWORK,ASIAN TELEVISION NETWRK INTL,ASIAN TELEVISION NETWRK INTL,140167,88
3983,Peapack-Gladstone Financial Corp,PEAPACK GLADSTONE FINANCIAL,PEAPACK-GLADSTONE FINAN CORP,PEAPACK GLADSTONE FINAN,107817,92
3988,Eastern Virginia Bankshares Inc,EASTERN VIRGINIA BANKSHARES,EASTERN VA BANKSHARES INC,EASTERN VA BANKSHARES,66148,88
3996,W R Grace & Co,W R GRACE,GRACE (W R) & CO,GRACE W R,5250,100
4000,Uniroyal Global Engineered Products Inc,UNIROYAL ENGINEERED PRODUCTS,UNIROYAL GLOBAL ENGINEERED,UNIROYAL ENGINEERED,22168,81
4002,Enterprise Products Partners L.P,ENTERPRISE PRODUCTS PARTNERS L P,ENTERPRISE PRODCT PARTNRS LP,ENTERPRISE PRODCT PARTNRS LP,112876,93
4004,Cominar Real Estate Investment Trust,COMINAR REAL ESTATE INVESTMENT TRUST,COMINAR REAL ESTATE INVT TR,COMINAR REAL ESTATE INVT TR,120654,86
4012,Kaymus Resources Inc,KAYMUS RESOURCES,MDU RESOURCES GROUP INC,MDU RESOURCES,6867,83
4015,Oil States International Inc,OIL STATES,OIL STATES INTL INC,OIL STATES INTL,142260,80
4016,United Bancshares Inc,UNITED BANCSHARES,UNITED BANCSHARES INC/OH,UNITED BANCSHARES /OH,108664,92
4031,Enterprise Financial Services Corp,ENTERPRISE FINANCIAL SERVICES,ENTERPRISE FINL SERVICES CP,ENTERPRISE FINL SERVICES CP,117141,86
4033,Credit Suisse High Yield Credit Fund,CREDIT SUISSE HIGH YIELD CREDIT FUND,CREDIT SUISSE HIGH Y CR FUND,CREDIT SUISSE HIGH Y CR FUND,112875,88
4034,Peoples Bank of Commerce,PEOPLES BANK OF COMMERCE,BANK OF COMMERCE HOLDINGS,BANK OF COMMERCE,112112,80
4042,Rudolph Technologies Inc,RUDOLPH TECHNOLOGIES,DELPHI TECHNOLOGIES PLC,DELPHI TECHNOLOGIES,31802,87
4052,Tim SA,TIM SA,TAM SA,TAM SA,271710,83
4058,Tele Norte Leste Participacoes SA,TELE NORTE LESTE PARTICIPACOES SA,TELE NORTE LESTE PARTICIPACO,TELE NORTE LESTE PARTICIPACO,222642,92
4066,Westshore Terminals Investment Corp,WESTSHORE TERMINALS INVESTMENT,WESTSHORE TERMS INVESTMNT CP,WESTSHORE TERMS INVESTMNT CP,66401,86
4070,Southern ITS International Inc,SOUTHERN ITS,SOUTHERN CO GAS,SOUTHERN GAS,1837,83
4079,American Bank Inc,AMERICAN BANK,AMERICAN BANK INC/PA,AMERICAN BANK /PA,137370,90
4082,Vivos Inc,VIVOS,VIVUS INC,VIVUS,30007,80
4101,Argenta Silver Corp,ARGENTA SILVER,ARGENTUM SILVER CORP,ARGENTUM SILVER,178720,90
4115,Waste Connections US Inc,WASTE CONNECTIONS US,WASTE CONNECTIONS INC,WASTE CONNECTIONS,110732,92
4123,Cognizant Technology Solutions Corp,COGNIZANT TECHNOLOGY SOLUTIONS,COGNIZANT TECH SOLUTIONS,COGNIZANT TECH SOLUTIONS,111864,89
4129,Brocade Communications Systems LLC,BROCADE COMMUNICATIONS SYSTEMS,BROCADE COMMUNICATIONS SYS,BROCADE COMMUNICATIONS SYS,120774,93
4138,Parallel Industries Inc,PARALLEL INDUSTRIES,RAVEN INDUSTRIES INC,RAVEN INDUSTRIES,8958,80
4144,Community Financial Corp(Maryland),COMMUNITY FINANCIAL MARYLAND,COMMUNITY FINANCIAL CORP/VA,COMMUNITY FINANCIAL /VA,17861,84
4160,Alliance Resource Partners LP,ALLIANCE RESOURCE PARTNERS LP,ALLIANCE RESOURCE PTNRS  -LP,ALLIANCE RESOURCE PTNRS LP,122915,95
4162,PSB Holdings Inc,PSB,PS INTERNATIONAL GROUP LTD,PS,39996,80
4164,Heidrick & Struggles International Inc,HEIDRICK STRUGGLES,HEIDRICK & STRUGGLES INTL,HEIDRICK STRUGGLES INTL,120048,88
4166,Pacific Mercantile Bancorp (Pre-Merger),PACIFIC MERCANTILE BANCORP PRE MERGER,PACIFIC MERCANTILE BANCORP,PACIFIC MERCANTILE BANCORP,121381,83
4172,Republic Bancorp Inc,REPUBLIC BANCORP,REPUBLIC BANCORP INC/KY,REPUBLIC BANCORP /KY,112721,91
4181,Moro Corp,MORO,MONRO INC,MONRO,24350,89
4186,Varian Semiconductor Equipment Associates Inc,VARIAN SEMICONDUCTOR EQUIPMENT ASSOCIATES,VARIAN SEMICONDUCTOR EQUIPMT,VARIAN SEMICONDUCTOR EQUIPMT,119217,81
4187,Invernova SA,INVERNOVA SA,INVENTIVA SA,INVENTIVA SA,323476,83
4205,Radius Gold Inc,RADIUS GOLD,RISE GOLD CORP,RISE GOLD,180574,80
4206,Morguard Real Estate Investment Trust,MORGUARD REAL ESTATE INVESTMENT TRUST,MORGUARD REAL ESTATE INVT TR,MORGUARD REAL ESTATE INVT TR,65632,86
4207,Advanced Container Technologies Inc,ADVANCED CONTAINER TECHNOLOGIES,ADVANCED CONTAINER TECHN INC,ADVANCED CONTAINER TECHN,115165,87
4216,Alaska Communications Systems Group Inc,ALASKA COMMUNICATIONS SYSTEMS,ALASKA COMMUNICATIONS SYS GP,ALASKA COMMUNICATIONS SYS GP,126555,88
4233,Volt Carbon Technologies Inc,VOLT CARBON TECHNOLOGIES,CARBONMETA TECHNOLOGIES INC,CARBONMETA TECHNOLOGIES,146840,81
4236,Legacy LifePoint Health LLC,LEGACY LIFEPOINT HEALTH,LIFEPOINT HEALTH INC,LIFEPOINT HEALTH,120297,82
4238,Enterprise Diversified Inc,ENTERPRISE DIVERSIFIED,DIVERSIFIED ENERGY CO,DIVERSIFIED ENERGY,322985,80
4241,Adeia Media Solutions Inc,ADEIA MEDIA SOLUTIONS,DIGITAL MEDIA SOLUTIONS INC,DIGITAL MEDIA SOLUTIONS,36748,86
4248,Algonquin Power & Utilities Corp,ALGONQUIN POWER UTILITIES,ALGONQUIN POWER & UTIL CORP,ALGONQUIN POWER UTIL,115044,89
4249,Pershing Resources Company Inc,PERSHING RESOURCES,PERSHIMEX RESOURCES CORP,PERSHIMEX RESOURCES,170573,86
4250,Pacific Health Care Organization Inc,PACIFIC HEALTH CARE ORGANIZATION,PACIFIC HEALTH CARE ORG INC,PACIFIC HEALTH CARE ORG,66274,84
4258,Planet Ventures Inc,PLANET VENTURES,ATC VENTURES GROUP INC,ATC VENTURES,147101,81
4263,Global Power Solutions Corp,POWER SOLUTIONS,POWER SOLUTIONS INTL INC,POWER SOLUTIONS INTL,187169,86
4276,Cloud Software Group Inc,CLOUD SOFTWARE,COUPA SOFTWARE INC,COUPA SOFTWARE,28084,86
4277,Blount International Inc,BLOUNT,BLUEMOUNT HOLDINGS LTD,BLUEMOUNT,51254,80
4279,Nuveen Quality Municipal Income Fund,NUVEEN QUALITY MUNICIPAL INCOME FUND,NUVEEN MUNICIPAL INCOME FUND,NUVEEN MUNICIPAL INCOME FUND,14747,88
4281,Brookfield Renewable Partners LP,BROOKFIELD RENEWABLE PARTNERS LP,BROOKFIELD RENEWABLE PRTS LP,BROOKFIELD RENEWABLE PRTS LP,136684,93
4289,American Business Bank,AMERICAN BUSINESS BANK,AMERICAN BUSINESS BANK/CA,AMERICAN BUSINESS BANK/CA,121073,94
4292,Summit Industrial Income REIT,SUMMIT INDUSTRIAL INCOME REIT,SUMMIT INDUSTRIAL INCM REIT,SUMMIT INDUSTRIAL INCM REIT,121096,96
4296,Alliance Fiber Optic Products Inc,ALLIANCE FIBER OPTIC PRODUCTS,ALLIANCE FIBER OPTIC PRODUCT,ALLIANCE FIBER OPTIC PRODUCT,141236,98
4306,Aspira Women's Health Inc,ASPIRA WOMEN S HEALTH,ASPIRA WOMENS HEALTH INC,ASPIRA WOMENS HEALTH,140042,93
4319,Quorum Information Technologies Inc,QUORUM INFORMATION TECHNOLOGIES,QUORUM INFORMATION TECHNOL,QUORUM INFORMATION TECHNOL,141119,91
4334,Neptune Wellness Solutions Inc,NEPTUNE WELLNESS SOLUTIONS,NEPTUNE WELLNESS SOLUTION IN,NEPTUNE WELLNESS SOLUTION IN,144382,93
4339,Spanish Broadcasting System Inc,SPANISH BROADCASTING SYSTEM,SPANISH BROADCASTING SYS INC,SPANISH BROADCASTING SYS,117145,94
4341,Synthomer Inc,SYNTHOMER,SYNTHORX INC,SYNTHORX,34429,82
4347,Real Brands Inc,REAL BRANDS,REGIONAL BRANDS INC,REGIONAL BRANDS,25969,85
4352,BioRegenx Inc,BIOREGENX,BIOGEN INC,BIOGEN,24468,80
4357,J M Smucker Co,J M SMUCKER,SMUCKER (JM) CO,SMUCKER JM,9777,95
4358,Visium Technologies Inc,VISIUM TECHNOLOGIES,VISLINK TECHNOLOGIES INC,VISLINK TECHNOLOGIES,289735,87
4362,Flexible Solutions International Inc,FLEXIBLE SOLUTIONS,FLEXIBLE SOLUTIONS INTL INC,FLEXIBLE SOLUTIONS INTL,126010,88
4373,Innovative Solutions and Support Inc,INNOVATIVE SOLUTIONS AND SUPPORT,INNOVATIVE SOLTNS & SUPP INC,INNOVATIVE SOLTNS SUPP,135844,81
4379,Chemtrade Logistics Income Fund,CHEMTRADE LOGISTICS INCOME FUND,CHEMTRADE LOGISTICS INCM FD,CHEMTRADE LOGISTICS INCM FD,144475,93
4381,Xiana Mining Inc,XIANA MINING,TITAN MINING CORP,TITAN MINING,32589,83
4396,Interconnection Electric SA ESP,INTERCONNECTION ELECTRIC SA ESP,INTERCONEXION ELECTRICA SA,INTERCONEXION ELECTRICA SA,249448,84
4401,Americas Gold and Silver Corporation,AMERICAS GOLD AND SILVER,AMERICAS GOLD & SILVER CORP,AMERICAS GOLD SILVER,130525,91
4424,Arvana Inc,ARVANA,CARVANA CO,CARVANA,30999,92
4431,Strata Power Corp,STRATA POWER,STRATA PWR CORP,STRATA PWR,136287,91
4442,Defense Technologies International Corp,DEFENSE TECHNOLOGIES,DEFSEC TECHNOLOGIES INC,DEFSEC TECHNOLOGIES,37512,92
4459,China Gold International Resources Corp Ltd,CHINA GOLD RESOURCES,CANAGOLD RESOURCES LTD,CANAGOLD RESOURCES,23731,89
4460,Fidelity National Information Services Inc,FIDELITY NATIONAL INFORMATION SERVICES,FIDELITY NATIONAL INFO SVCS,FIDELITY NATIONAL INFO SVCS,165993,83
4465,Sonoro Energy Ltd,SONORO ENERGY,SUNCOR ENERGY INC,SUNCOR ENERGY,15070,85
4470,GETT Gold Inc,GETT GOLD,GANNETT CO INC -OLD,GANNETT OLD,23821,80
4476,GDI Integrated Facility Services Inc,GDI INTEGRATED FACILITY SERVICES,GDI INTEGRATED FACILITY SVCS,GDI INTEGRATED FACILITY SVCS,23949,93
4477,Pioneering Technology Corp,PIONEERING TECHNOLOGY,IONIX TECHNOLOGY INC,IONIX TECHNOLOGY,23730,81
4480,GHST World Inc,GHST WORLD,H WORLD GROUP LIMITED,H WORLD,184453,82
4482,American Commerce Solutions Inc,AMERICAN COMMERCE SOLUTIONS,AMERICAN COMMERCE SOLUTION,AMERICAN COMMERCE SOLUTION,142499,98
4496,Oregen Energy Corp,OREGEN ENERGY,OGE ENERGY CORP,OGE ENERGY,8113,87
4497,BlackRock Municipal Income Trust,BLACKROCK MUNICIPAL INCOME TRUST,BLACKROCK MUNICIPAL INCOME,BLACKROCK MUNICIPAL INCOME,155336,90
4500,Pure Energy Minerals Ltd,PURE ENERGY MINERALS,SPARK ENERGY MINERALS INC,SPARK ENERGY MINERALS,142501,88
4507,Castle Group Inc,CASTLE,AIRCASTLE LTD,AIRCASTLE,175110,80
4512,Biosenta Inc,BIOSENTA,BIOSYENT INC,BIOSYENT,106808,88
4513,Roxmore Resources Inc,ROXMORE RESOURCES,ROBEX RESOURCES INC,ROBEX RESOURCES,153129,81
4518,0913693 BC Ltd,0913693 BC,0913693 B.C. LTD,0913693 B C,181900,95
4519,American Greetings Corp,AMERICAN GREETINGS,AMERICAN GREETINGS  -CL A,AMERICAN GREETINGS CL A,1468,88
4521,Centerpoint Energy Resources Corp,CENTERPOINT ENERGY RESOURCES,CENTERPOINT ENERGY RES CORP,CENTERPOINT ENERGY RES,145350,88
4524,Wisconsin Power and Light Co,WISCONSIN POWER AND LIGHT,WISCONSIN POWER & LIGHT,WISCONSIN POWER LIGHT,14580,91
4532,Bank of America NA,BANK OF AMERICA NA,BANK OF AMERICA CORP,BANK OF AMERICA,7647,91
4544,Victory Clean Energy Inc,VICTORY CLEAN ENERGY,SINO CLEAN ENERGY INC,SINO CLEAN ENERGY,144356,81
4545,Parks! America Inc,PARKS! AMERICA,PARKS AMERICA INC,PARKS AMERICA,154360,100
4556,Enterprise Bancorp Inc,ENTERPRISE BANCORP,ENTERPRISE BANCORP INC/MA,ENTERPRISE BANCORP /MA,118525,92
4557,Carreras Ltd,CARRERAS,CARRIER GLOBAL CORP,CARRIER,36191,80
4561,CNB Corp,CNB,ACNB CORP,ACNB,17173,86
4562,Patriot Gold Corp,PATRIOT GOLD,PATRIOT COAL CORP,PATRIOT COAL,178608,83
4571,Canadian Pacific Kansas City Ltd,CANADIAN PACIFIC KANSAS CITY,CANADIAN PAC KANSAS CITY LTD,CANADIAN PAC KANSAS CITY,2698,92
4575,Principal Financial Group Inc,PRINCIPAL FINANCIAL,PRINCIPAL FINANCIAL GRP INC,PRINCIPAL FINANCIAL GRP,145701,90
4577,SunLink Health Systems Inc (Pre-Merger),SUNLINK HEALTH SYSTEMS PRE MERGER,SUNLINK HEALTH SYSTEMS INC,SUNLINK HEALTH SYSTEMS,10380,80
4591,Nuveen Municipal Credit Income Fund,NUVEEN MUNICIPAL CREDIT INCOME FUND,NUVEEN MUNICIPAL INCOME FUND,NUVEEN MUNICIPAL INCOME FUND,14747,89
4598,Citizens Bancorp of Virginia Inc,CITIZENS BANCORP OF VIRGINIA,CITIZENS BANCORP/OR,CITIZENS BANCORP/OR,110940,81
4599,Charter Financial Corp (Maryland),CHARTER FINANCIAL MARYLAND,CHARTER FINANCIAL CORP/MD,CHARTER FINANCIAL /MD,145636,87
4602,Crescent Point Energy Corp,CRESCENT POINT ENERGY,CRESCENT ENERGY CO,CRESCENT ENERGY,40383,83
4603,Valores Industriales SA,VALORES INDUSTRIALES SA,ISHARES GLOBAL INDUSTRIALS,ISHARES INDUSTRIALS,175579,81
4605,Western New England Bancorp Inc,WESTERN NEW ENGLAND BANCORP,WESTERN NEW ENG BANCORP INC,WESTERN NEW ENG BANCORP,146607,92
4609,Nuveen Real Estate Income Fund,NUVEEN REAL ESTATE INCOME FUND,NUVEEN REAL ESTATE INCOME FD,NUVEEN REAL ESTATE INCOME FD,146081,97
4612,Biodelivery Sciences International Inc,BIODELIVERY SCIENCES,BIODELIVERY SCIENCES INTL,BIODELIVERY SCIENCES INTL,148219,89
4618,Mantech International Corp,MANTECH,MANNATECH INC,MANNATECH,112968,88
4620,Charlie's Holdings Inc,CHARLIE S,O'CHARLEY'S INC,O CHARLEY S,22829,80
4622,Questerre Energy Corp (Canada),QUESTERRE ENERGY CANADA,QUESTERRE ENERGY CORP,QUESTERRE ENERGY,155224,82
4624,Pimco Corporate & Income Strategy Fund,PIMCO CORPORATE INCOME STRATEGY FUND,PIMCO INCOME STRATEGY FUND,PIMCO INCOME STRATEGY FUND,155895,84
4629,Abundia Global Impact Group Inc,ABUNDIA IMPACT,ABUNDIA GLOBAL IMPACT GRP IN,ABUNDIA IMPACT GRP IN,146659,80
4639,Cogent Communications Holdings Inc,COGENT COMMUNICATIONS,COGECO COMMUNICATIONS INC,COGECO COMMUNICATIONS,28555,90
4646,Global Arena Holding Inc,ARENA HOLDING,ARENA GROUP HLDNGS INC (THE),ARENA HLDNGS,29064,88
4647,Cohen & Steers Quality Income Realty Fund Inc,COHEN STEERS QUALITY INCOME REALTY FUND,COHEN & STEERS QTY INCM RLTY,COHEN STEERS QTY INCM RLTY,147432,80
4654,AC Partners Inc,AC PARTNERS,MDC PARTNERS INC,MDC PARTNERS,20570,87
4655,Medical International Technology Inc,MEDICAL TECHNOLOGY,MEDIA TECHNOLOGIES INC,MEDIA TECHNOLOGIES,180774,83
4669,BlackRock Virginia Municipal Bond Trust,BLACKROCK VIRGINIA MUNICIPAL BOND TRUST,BLACKROCK VA MUNICIPAL BOND,BLACKROCK VA MUNICIPAL BOND,148430,82
4670,Pioneer High Income Fund Inc,PIONEER HIGH INCOME FUND,PIMCO HIGH INCOME FUND,PIMCO HIGH INCOME FUND,153713,87
4675,Compania de Minas Buenaventura SAA,COMPANIA DE MINAS BUENAVENTURA SAA,COMPANIA DE MINAS BUENAVENTU,COMPANIA DE MINAS BUENAVENTU,200856,90
4687,Apple iSports Group Inc,APPLE ISPORTS,APPLE ISPORT GROUP INC,APPLE ISPORT,148876,96
4694,Republic Airways Holdings Inc,REPUBLIC AIRWAYS,REPUBLIC AIRWAYS HLDGS INC,REPUBLIC AIRWAYS HLDGS,147639,84
4704,PIMCO Municipal Income Fund II,PIMCO MUNICIPAL INCOME FUND II,PIMCO MUNICIPAL INCOME FD II,PIMCO MUNICIPAL INCOME FD II,149265,97
4714,Boston Pizza Royalties Income Fund,BOSTON PIZZA ROYALTIES INCOME FUND,BOSTON PIZZA ROYALTIES INCM,BOSTON PIZZA ROYALTIES INCM,149557,89
