index,lseg_name,lseg_clean,compustat_name,compustat_clean,gvkey,score
2335,Petroleo Brasileiro SA Petrobras,PETROLEO BRASILEIRO SA PETROBRAS,PETROLEO BRASILEIRO SA- PETR,PETROLEO BRASILEIRO SA PETR,222111,92
2338,Abercrombie & Fitch Co,ABERCROMBIE FITCH,ABERCROMBIE & FITCH  -CL A,ABERCROMBIE FITCH CL A,63643,87
2342,Neo Performance Materials ULC,NEO PERFORMANCE MATERIALS ULC,NEO PERFORMANCE MATERLAS INC,NEO PERFORMANCE MATERLAS,32799,87
2353,CNB Financial Corp,CNB FINANCIAL,CNA FINANCIAL CORP,CNA FINANCIAL,2558,92
2355,Janus Henderson US (Holdings) Inc,JANUS HENDERSON US,JANUS HENDERSON GROUP PLC,JANUS HENDERSON,259518,91
2356,Companhia Paranaense de Energia,COMPANHIA PARANAENSE DE ENERGIA,COPEL-CIA PARANAENSE ENERGIA,COPEL CIA PARANAENSE ENERGIA,64577,81
2360,Central Natural Resources Inc,CENTRAL NATURAL RESOURCES,CHINA NATURAL RESOURCES INC,CHINA NATURAL RESOURCES,31626,88
2365,Grupo Minsa SAB de CV,GRUPO MINSA SAB DE CV,GRUMA SAB DE CV,GRUMA SAB DE CV,222519,83
2367,Equinor Exploration Co,EQUINOR EXPLORATION,DIOS EXPLORATION INC,DIOS EXPLORATION,147086,80
2372,Daybreak Oil and Gas Inc,DAYBREAK OIL AND GAS,DAYBREAK OIL & GAS INC,DAYBREAK OIL GAS,122197,89
2374,Electronic Systems Technology Inc,ELECTRONIC SYSTEMS TECHNOLOGY,ELECTRONIC SYSTEM TECH INC,ELECTRONIC SYSTEM TECH,21563,86
2376,Farmers National Banc Corp,FARMERS NATIONAL BANC,FARMERS NATL BANC CORP/OH,FARMERS NATL BANC /OH,29855,83
2384,Adeia Media Holdings Inc,ADEIA MEDIA,DEX MEDIA INC,DEX MEDIA,111631,80
2387,EnerTeck Corp,ENERTECK,EVERTEC INC,EVERTEC,185375,80
2388,Progenics Pharmaceuticals Inc,PROGENICS PHARMACEUTICALS,PROGENICS PHARMACEUTICAL INC,PROGENICS PHARMACEUTICAL,65872,98
2392,Centerpoint Energy Houston Electric LLC,CENTERPOINT ENERGY HOUSTON ELECTRIC,CENTERPOINT ENRG HOUSTON ELE,CENTERPOINT ENRG HOUSTON ELE,155969,89
2393,Nicola Mining Inc,NICOLA MINING,ORLA MINING LTD,ORLA MINING,178874,83
2400,Keweenaw Land Association Ltd,KEWEENAW LAND ASSOCIATION,KEWEENAW LAND ASSN LTD,KEWEENAW LAND ASSN,18724,84
2403,Lincoln Electric Holdings Inc,LINCOLN ELECTRIC,LION ELECTRIC CO (THE),LION ELECTRIC,38773,90
2411,Medizone International Inc,MEDIZONE,MEDLINE INC,MEDLINE,74887,80
2418,NBT Bancorp Inc,NBT BANCORP,NB BANCORP INC,NB BANCORP,43210,95
2423,Northern Technologies International Corp,NORTHERN TECHNOLOGIES,NORTHCORE TECHNOLOGIES INC,NORTHCORE TECHNOLOGIES,119394,88
2429,Idaho Strategic Resources Inc,IDAHO STRATEGIC RESOURCES,IDAHO STRTEGIC RESOURCES INC,IDAHO STRTEGIC RESOURCES,66246,98
2430,American International Ventures Inc,AMERICAN VENTURES,AMERICAN INTL VENTURES INC,AMERICAN INTL VENTURES,170974,87
2431,Public Service Company of New Hampshire,PUBLIC SERVICE OF NEW HAMPSHIRE,PUBLIC SERVICE CO OF NEW MEX,PUBLIC SERVICE OF NEW MEX,156818,86
2437,George Risk Industries Inc,GEORGE RISK INDUSTRIES,RISK(GEORGE) INDUSTRIES INC,RISK GEORGE INDUSTRIES,9154,100
2444,Le@p Technology Inc,LE@P TECHNOLOGY,LEAP TECHNOLOGY INC,LEAP TECHNOLOGY,9552,93
2453,Sparta Commercial Services Inc,SPARTA COMMERCIAL SERVICES,SPARTA COMMERCIAL SERVIC INC,SPARTA COMMERCIAL SERVIC,40564,96
2466,FBL Financial Group Inc,FBL FINANCIAL,FB FINANCIAL CORP,FB FINANCIAL,27871,96
2468,American Environmental Partners Inc,AMERICAN ENVIRONMENTAL PARTNERS,AMERICAN DENTAL PARTNERS INC,AMERICAN DENTAL PARTNERS,109580,84
2469,Lamar Advertising Co,LAMAR ADVERTISING,LAMAR ADVERTISING CO  -CL A,LAMAR ADVERTISING CL A,63422,87
2476,H&R Real Estate Investment Trust,H R REAL ESTATE INVESTMENT TRUST,H&R REAL ESTATE INVT TR,H R REAL ESTATE INVT TR,64196,84
