gvkey,sich
162560,6035
162643,7372
162720,4412
162733,3578
162735,2834
162742,3743
162870,3790
162876,5141
162887,3841
162892,2834
162894,4923
162906,7370
162914,4731
162925,6798
162957,2800
162988,5600
163036,5211
163051,5600
163113,2400
163118,7900
163594,4610
163595,2860
163610,6200
163629,4899
163668,8200
163669,4911
163678,7990
163685,4412
163765,3714
163768,4813
163822,1382
163878,8200
163884,6798
163889,3841
163891,5812
163916,7372
163920,6022
163930,4412
163935,5171
163946,2870
163948,3510
163963,6798
163965,3841
163983,2030
164046,1311
164116,3430
164132,6798
164190,4512
164266,2834
164271,7830
164296,4841
164363,2810
164364,6022
164365,6035
164395,6022
164416,3630
164471,5812
164494,3728
164506,2780
164557,3562
164572,6331
164606,7997
164609,8071
164612,3845
164633,6022
164652,8050
164660,7310
164708,6282
164724,6022
164755,3021
165052,2300
165123,7373
165209,6798
165215,2834
165262,4412
165264,6361
165513,6035
165637,1040
165649,4922
165652,2911
165675,4841
165678,4512
165746,7900
165798,1090
165845,4813
165846,2911
165856,7350
165914,5812
165993,7389
166005,6331
166213,7389
166218,1040
166368,2510
166385,4581
166435,2834
166447,2836
166451,6200
166482,3490
166555,3841
166562,4813
166563,2911
166583,8731
166593,7371
166705,6311
166723,6022
166789,7359
170335,7374
170375,6798
170384,4899
170396,6022
170419,6035
170450,2834
170520,2834
170527,2040
170616,7372
170617,7370
170655,5030
170714,6798
170750,1311
170765,3211
170841,2911
170920,8200
170945,2834
170965,7380
170969,2834
171002,3841
171007,7372
171022,2834
171049,5812
171067,3577
171078,8742
171141,5331
171187,2834
174022,6531
174049,3442
174077,7372
174134,2834
174136,2834
174169,1311
174222,5810
174236,8060
174280,1000
174301,6021
174310,1600
174313,6035
174314,7829
174317,3576
174360,6798
174389,6411
174390,3841
174428,3841
174449,6022
174490,4813
174541,7389
174567,5160
174637,8742
174647,6321
174729,7011
174744,6282
174876,3843
174926,6798
175004,4899
175007,4512
175008,2834
175064,2834
175110,7359
175111,3576
175230,1000
175263,7389
175269,2086
175307,6798
175308,2834
175319,5600
175376,7384
175404,3674
175457,3690
175503,1040
175523,4899
175533,2834
175607,6022
175654,8711
175686,1623
175688,6331
175689,3089
175739,7310
175900,5990
175955,3674
175966,2834
175982,3674
175995,2834
176017,2834
176022,2834
176035,3674
176064,4822
176234,6798
176247,3569
176249,5812
176268,6798
176282,4923
176343,4932
176346,3533
176351,6022
176362,3721
176363,3674
176375,6022
176404,4841
176523,7310
176567,3571
176572,3663
176591,6331
176592,6519
176593,5531
176598,1000
176602,6331
176636,2834
176637,6798
176670,3841
176701,6211
176703,6036
176760,2621
176766,6035
176782,7371
176828,6021
176840,1311
176899,1311
176914,4924
176928,7389
176939,2741
176973,6331
176992,2834
177088,6282
177099,7371
177108,7830
