gvkey,year,total_assets,market_cap
16721.0,2018,,23840975401.36
16721.0,2019,8957000000,
16721.0,2019,,31390652936.63
16721.0,2020,11112000000,
16721.0,2020,,41655126271.6
16721.0,2021,13288000000,
16721.0,2021,,37302394061.7
16721.0,2022,13800000000,
16721.0,2022,,33731482990.12
16721.0,2023,13459000000,
16721.0,2023,,36797299614.07
4292.0,2009,533655,
4292.0,2010,487542,225823.23
4292.0,2011,,213277.495
4292.0,2011,534751,
4292.0,2012,704447,451646.46
4292.0,2013,551948,238368.965
4292.0,2014,372235,138003.085
4292.0,2015,267546,50182.94
4292.0,2016,,276006.17
4292.0,2016,308364,
4292.0,2017,,301097.64
4292.0,2017,262086,
4292.0,2018,233695,138003.085
4292.0,2019,223156,97856.733
4292.0,2020,176602,66241.4808
4292.0,2021,170600,10036.588
4292.0,2022,,50182.94
4292.0,2022,170126,
4292.0,2023,,57961.2957
14666.0,2010,107656985,
14666.0,2010,,98192722.8185
14666.0,2011,101647926,
14666.0,2011,,88500066.6
14666.0,2012,115279182,
14666.0,2012,,96059967.78
14666.0,2013,129991515,
14666.0,2013,,109885213.619999
14666.0,2014,135600047,
14666.0,2014,,116053059.07
14666.0,2015,120999530,
14666.0,2015,,101177474.5
14666.0,2016,128286327,
14666.0,2016,,108426828.74
14666.0,2017,161947536,
14666.0,2017,,121167846.18
14666.0,2018,173829037,
14666.0,2018,,111110670.74
14666.0,2019,178958488,
14666.0,2019,,153152443.92
14666.0,2020,203960425,
14666.0,2020,,183154140.59
14666.0,2021,229345661,
14666.0,2021,,166853300.88
14666.0,2022,182265750,
14666.0,2022,,111017871.72
14666.0,2023,166415091,
14666.0,2023,,111336275.36
19824.0,2009,9847090663.05819,
19824.0,2010,9489961360.70914,18861039705.9019
19824.0,2011,,16258828443.6453
19824.0,2011,10749000000.0,
19824.0,2012,12739000000.0,11888759178.5474
19824.0,2013,9674000000.0,4733390617.36001
19824.0,2014,9134000000.0,3552078370.83693
19824.0,2015,7284000000.0,2785207927.55554
19824.0,2016,,4536182920.58174
19824.0,2016,7153000000.0,
19824.0,2017,,4267987164.07173
19824.0,2017,7219000000.0,
19824.0,2018,6643000000.0,5228924178.41684
19824.0,2019,6863000000.0,9393000746.58596
19824.0,2020,7705000000.0,9721891134.08679
19824.0,2021,8007000000.0,8581282462.74097
19824.0,2022,,8100354636.93514
19824.0,2022,8013000000.0,
19824.0,2023,,7842795810.36
65235.0,2009,40504625,
65235.0,2010,28565866,202152972.56
65235.0,2011,,221665312.26
65235.0,2011,37720319,
65235.0,2012,41235917,214566262.56
65235.0,2013,75353418,386288978.2
65235.0,2014,107708628,457627861.32
65235.0,2015,145186581,643990662.0
65235.0,2016,,718250994.7
65235.0,2016,199717861,
65235.0,2017,,716957891.58
65235.0,2017,250388319,
65235.0,2018,325727843,524799802.45
65235.0,2019,272663950,475338832.68
65235.0,2020,263097341,472180715.82
65235.0,2021,286153403,616038319.85
65235.0,2022,,557993492.1
65235.0,2022,249821410,
65235.0,2023,,476639720.47
25726.0,2009,52537131,
25726.0,2010,56457187,93853844.48
25726.0,2011,,82124328.02
25726.0,2011,89056573,
25726.0,2012,124883516,83798104.39
25726.0,2013,124272594,126493814.72
25726.0,2014,103404723,86790666.55
25726.0,2015,116712536,83456700.88
25726.0,2016,,80809054.5
25726.0,2016,117791895,
25726.0,2017,,79305824.6999999
25726.0,2017,124184499,
25726.0,2018,47438393,74705984.08
25726.0,2019,43354447,79540725.9
25726.0,2020,46509449,45785319.201
25726.0,2021,55005545,33676414.5899999
25726.0,2022,,39626966.4
25726.0,2022,59447080,
25726.0,2023,,34595668.38
4321.0,2010,22843000000,
4321.0,2010,,43112669938.4
4321.0,2011,23861000000,
4321.0,2011,,34256490436.95
4321.0,2012,23818000000,
4321.0,2012,,38320694057.6
4321.0,2013,24711000000,
4321.0,2013,,49485024106.98
4321.0,2014,24177000000,
4321.0,2014,,42732444471.46
4321.0,2015,22088000000,
4321.0,2015,,31154845011.19
4321.0,2016,21732000000,
4321.0,2016,,35928089897.25
4321.0,2017,19589000000,
4321.0,2017,,44728424510.22
4321.0,2018,20390000000,
4321.0,2018,,37412976230.5
4321.0,2019,20497000000,
4321.0,2019,,46454071457.1
4321.0,2020,22882000000,
4321.0,2020,,48064431962.79
4321.0,2021,24715000000,
4321.0,2021,,55224180000.0
4321.0,2022,35672000000,
4321.0,2022,,56809884000.0
4321.0,2023,42746000000,
4321.0,2023,,55626398606.44
4331.0,2009,1839846000,
4331.0,2010,1921311000,921136430.4
4331.0,2011,,885270001.62
4331.0,2011,2021835000,
4331.0,2012,2126369000,864545706.78
