gvkey,year,total_assets,market_cap
20338.0,2023,,4196500789.46
65214.0,2009,675022000,
65214.0,2010,565105000,11523893.5
65214.0,2011,,10408678.0
65214.0,2011,522881000,
65214.0,2012,506492000,17099971.0
65214.0,2013,502419000,44231107.5
65214.0,2014,515382000,50346450.0
65214.0,2015,541264000,54529372.1
65214.0,2016,,136142753.6
65214.0,2016,549509000,
65214.0,2017,,132574011.679999
24888.0,2010,167816000,
24888.0,2010,,600204900
24888.0,2011,188260000,
24888.0,2011,,599802590
24888.0,2012,181836000,
24888.0,2012,,814345000
24888.0,2013,201763000,
24888.0,2013,,891107252
24888.0,2014,217380000,
24888.0,2014,,1280720880
24888.0,2015,269064000,
24888.0,2015,,1264882560
24888.0,2016,271380000,
24888.0,2016,,1189171950
24888.0,2017,305646000,
24888.0,2017,,1123955440
24888.0,2018,341103000,
24888.0,2018,,1898293000
24853.0,2009,100683000,
24853.0,2010,93695000,171144465.12
24853.0,2011,,243150885.76
24853.0,2011,109036000,
24853.0,2012,110769000,512573752.39
24853.0,2013,217157000,1025430550.0
24853.0,2014,466950000,1449546744.1
24853.0,2015,467999000,642114168.78
24853.0,2016,,1058474431.0
24853.0,2016,430078000,
24853.0,2017,,1693557780.2
24893.0,2010,3986540000,
24893.0,2010,,8749712657.77
24893.0,2011,4292075000,
24893.0,2011,,12489634074.68
24893.0,2012,5294216000,
24893.0,2012,,16912453895.0399
24893.0,2013,5538000000,
24893.0,2013,,21529758434.54
24893.0,2014,5744000000,
24893.0,2014,,18138448782.0
24893.0,2015,5741000000,
24893.0,2015,,11432488418.5
24893.0,2016,6341000000,
24893.0,2016,,9796774762.52
24893.0,2017,,13447369302.9
24893.0,2017,6676000000,
17266.0,2009,3814856000,
17266.0,2010,3656010000,1546566301.3
17266.0,2011,,1035551749.34
17266.0,2011,2357816000,
17266.0,2012,2531299000,758236345.04
17266.0,2013,2101666000,648540300.1
17266.0,2014,2100954000,777030324.479999
17266.0,2015,1730862000,588177478.0
17266.0,2016,,617257384.099999
17266.0,2016,785583000,
17266.0,2017,,
17266.0,2018,,
17266.0,2019,,
64929.0,2010,14660445,
64929.0,2010,,41845583.51
64929.0,2011,15867338,
64929.0,2011,,46563099.57
64929.0,2012,17346869,
64929.0,2012,,69923068.3399999
64929.0,2013,16063181,
64929.0,2013,,81173164.7
64929.0,2014,20980844,
64929.0,2014,,112528701.52
64929.0,2015,27344226,
64929.0,2015,,168133069.91
64929.0,2016,27814317,
64929.0,2016,,166274112.7
64929.0,2017,38512468,
64929.0,2017,,278285151.2
64929.0,2018,43279016,
64929.0,2018,,347449423.0
64929.0,2019,45196697,
64929.0,2019,,512333720.73
64929.0,2020,168421517,
64929.0,2020,,1435858275.28
64929.0,2021,179978000,
64929.0,2021,,953984050.8
64929.0,2022,188382000,
64929.0,2022,,743450875.53
64929.0,2023,186101000,
64929.0,2023,,893526695.75
185427.0,2010,22115000,
185427.0,2010,,31125443.4
185427.0,2011,48576000,
185427.0,2011,,38688720.7
185427.0,2012,51210000,
185427.0,2012,,39953035.86
185427.0,2013,48166000,
185427.0,2013,,54092427.0
185427.0,2014,58757000,
185427.0,2014,,52051253.06
185427.0,2015,46764000,
185427.0,2015,,63700857.84
185427.0,2016,,70218972.9199999
185427.0,2017,,90103991.8
185427.0,2018,,103180475.36
185427.0,2019,,295700142.8
185427.0,2020,,450462032.57
185427.0,2021,,560754270.0
185427.0,2022,,669883095.0
185427.0,2023,,601047990.0
25148.0,2010,5502000,
25148.0,2010,,47221353.55
25148.0,2011,6063000,
25148.0,2011,,41030852.94
25148.0,2012,3597000,
25148.0,2012,,30230987.475
25148.0,2013,9454000,
25148.0,2013,,8138242.5228
25148.0,2014,16642000,
25148.0,2014,,12473971.30408
25148.0,2015,11741000,
25148.0,2015,,5520941.46
25148.0,2016,,3506302.99695999
25148.0,2017,,1678795.40288
25148.0,2018,,330.471536
25148.0,2019,,330471.536
36152.0,2009,115,
36152.0,2010,27,1522500.0
36152.0,2011,,609000.0
36152.0,2011,17,
36152.0,2012,0,609000.0
36152.0,2013,0,1537725.0
36152.0,2014,,11602500.0
36152.0,2015,,13260000.0
36152.0,2016,,6630000.0
36152.0,2016,,
36152.0,2017,,6630000.0
36152.0,2017,,
36152.0,2018,,4972500.0
36152.0,2019,1638000,4972500.0
36152.0,2020,6475000,14917500.0
36152.0,2021,15001000,13443984358.2799
36152.0,2022,,1500209977.288
36152.0,2022,13510000,
36152.0,2023,,696058122.65
26013.0,2009,2360936000,
26013.0,2010,2744321000,3715847650.4
26013.0,2011,,4678448392.2
26013.0,2011,3798980000,
26013.0,2012,4199529000,3449905439.64
26013.0,2013,4705165000,5567383650.51999
26013.0,2014,6483145000,2600500370.58
26013.0,2015,5621643000,1336383997.86
26013.0,2016,,3322812395.12
26013.0,2016,6393511000,
26013.0,2017,,2464658560.31999
26013.0,2017,6176776000,
26013.0,2018,6352862000,1737505633.68
26013.0,2019,6292232000,1269984580.48
26013.0,2020,4976431000,701185536.0
26013.0,2021,5233977000,3592499071.04
26013.0,2022,,4276986282.18
26013.0,2022,5716039000,
26013.0,2023,,4503673704.64
12879.0,2009,8105574,
12879.0,2010,7049793,12923944.7999999
12879.0,2011,,6482465.04
12879.0,2011,3346796,
12879.0,2012,2413327,7414050.08099999
12879.0,2013,2330366,2802855.2464
12879.0,2014,2210521,2779217.408
12879.0,2015,1866534,273799.5143
12879.0,2016,,1278691.07739999
12879.0,2016,1386367,
12879.0,2017,,482392.3779
12879.0,2018,,4823.923779
12879.0,2019,,4823.923779
12879.0,2020,,1447177.1337
12879.0,2021,,4823.923779
12879.0,2022,,4823.923779
12879.0,2023,,4823.923779
64545.0,2009,33803186,
64545.0,2010,38029824,30901810.02
64545.0,2011,,28028650.86
64545.0,2011,34225091,
64545.0,2012,35966072,27367866.54
64545.0,2013,35816822,26626189.9399999
64545.0,2014,38270205,26922860.58
64545.0,2015,42490196,27812872.5
64545.0,2016,,35377973.82
64545.0,2016,61648625,
64545.0,2017,,35125752.09
64545.0,2017,59873308,
64545.0,2018,58588298,30155086.08
64545.0,2019,67661343,40120277.1
64545.0,2020,64945375,37518370.0199999
64545.0,2021,66549241,61039094.1
64545.0,2022,,54195001.04
64545.0,2022,67382752,
64545.0,2023,,51647665.9499999
17701.0,2009,7542,
17701.0,2010,536,655557.04
17701.0,2011,,762060.6
17701.0,2012,,
17701.0,2012,,5161771.71
17701.0,2013,816641,
17701.0,2013,,174193530.98
17701.0,2014,4569701,
17701.0,2014,,275510176.55
17701.0,2015,4207296,
17701.0,2015,,90918358.2614999
17701.0,2016,2879533,
17701.0,2016,,34389002.48847
17701.0,2017,2644762,
17701.0,2017,,12442395.07
17701.0,2018,0,
17701.0,2018,,9456049.3005
17701.0,2019,,6328576.9875
17701.0,2020,,12150867.816
17701.0,2021,,151885.8477
17701.0,2022,,50628.6159
17701.0,2023,,506.286159
122775.0,2010,6420067,
122775.0,2010,,101453796.799999
122775.0,2011,20463015,
122775.0,2011,,113070472.199999
122775.0,2012,20627414,
122775.0,2012,,106675486.399999
122775.0,2013,,113009786.399999
122775.0,2014,21933000,
122775.0,2014,,101247310.8
122775.0,2015,12939000,
122775.0,2015,,78972300.33
122775.0,2016,14962000,
122775.0,2016,,101669223.04
122775.0,2017,13344000,
122775.0,2017,,99832759.0
122775.0,2018,22162000,
122775.0,2018,,133360929.16
122775.0,2019,43250000,
122775.0,2019,,186662288.399999
122775.0,2020,40663000,
122775.0,2020,,128313268.25
122775.0,2021,30641000,
122775.0,2021,,107236852.8
122775.0,2022,25847000,
122775.0,2022,,45857522.825
122775.0,2023,16031000,
122775.0,2023,,39880819.7999999
62823.0,2009,2077338000,
62823.0,2010,2405488000,1731348626.4
62823.0,2011,,1738002800.52
62823.0,2011,2411084000,
62823.0,2012,2275452000,1368535872.0
62823.0,2013,2364947000,1654554820.38
62823.0,2014,2391599000,1590822030.0
62823.0,2015,2229018000,1454090044.17999
62823.0,2016,,1910310305.39999
62823.0,2016,2225368000,
62823.0,2017,,1630617598.08
62823.0,2017,2257241000,
62823.0,2018,2379121000,2558110546.32
62823.0,2019,2783142000,4164226873.18
62823.0,2020,2777363000,3984126129.48
62823.0,2021,3100909000,5267368860.0
62823.0,2022,,5466389868.0
62823.0,2022,3241407000,
62823.0,2023,,7071760937.15
25027.0,2010,6227224,
25027.0,2010,,27812585.97
25027.0,2011,12498512,
25027.0,2011,,141993700.42
25027.0,2012,44528000,
25027.0,2012,,247636948.079999
25027.0,2013,55484000,
25027.0,2013,,169091341.649999
25027.0,2014,53999000,
25027.0,2014,,129072482.5
25027.0,2015,39781000,
25027.0,2015,,133250545.119999
25027.0,2016,50855000,
25027.0,2016,,114502805.6
25027.0,2017,45249000,
25027.0,2017,,67752145.44
25027.0,2018,51142000,
25027.0,2018,,186061965.1
25027.0,2019,55273000,
25027.0,2019,,218216154.94
25027.0,2020,58877000,
25027.0,2020,,132733352.32
25027.0,2021,78732000,
25027.0,2021,,83697896.16
25027.0,2022,70706000,
25027.0,2022,,49237711.68
25027.0,2023,66123000,
25027.0,2023,,76283322.0
64492.0,2010,49906010,
64492.0,2010,,468253672.7
64492.0,2011,58689000,
64492.0,2011,,569200011.899999
64492.0,2012,74892000,
64492.0,2012,,805664187.639999
64492.0,2013,83421000,
64492.0,2013,,1037478663.0
64492.0,2014,100268000,
64492.0,2014,,938976011.58
64492.0,2015,106456000,
64492.0,2015,,705292765.059999
64492.0,2016,101413000,
64492.0,2016,,722377067.38
64492.0,2017,106725000,
64492.0,2017,,770890828.799999
64492.0,2018,97990000,
64492.0,2018,,488582247.299999
64492.0,2019,90305000,
64492.0,2019,,659645267.52
64492.0,2020,120866000,
64492.0,2020,,391796182.639999
64492.0,2021,122491000,
64492.0,2021,,342226367.279999
64492.0,2022,125148000,
64492.0,2022,,468352047.239999
64492.0,2023,137128000,
64492.0,2023,,819785556.43
29211.0,2009,6049265000,
29211.0,2010,6152901000,500946606.9
29211.0,2011,,619371697.34
29211.0,2011,6049372000,
29211.0,2012,6465005000,709479097.18
29211.0,2013,6437109000,1007550663.43999
29211.0,2014,6797874000,1117496186.85
29211.0,2015,7542508000,948623477.76
29211.0,2016,,1375757725.25
29211.0,2016,7970474000,
29211.0,2017,,1301516034.0
29211.0,2017,8311744000,
29211.0,2018,8494625000,884240231.07
29211.0,2019,8830501000,1001686058.21999
29211.0,2020,10048733000,
29211.0,2020,10048733000,695724471.65
29211.0,2021,,1216348734.75
29173.0,2009,6254000000,
29173.0,2010,7494000000,9653824319.6
29173.0,2011,,5078381181.71999
29173.0,2011,8991000000,
29173.0,2012,7912000000,3621289052.42
29173.0,2013,9321000000,3352711485.02999
29173.0,2014,9580000000,3721663090.8
29173.0,2015,4768000000,5320705822.96
29173.0,2016,,8054825530.5
29173.0,2016,4312000000,
29173.0,2017,,6293979345.15
29173.0,2017,4961000000,
29173.0,2018,,2936983916.22
29173.0,2019,,3419803236.69
61635.0,2009,391237000,
61635.0,2010,414883000,223275730.23
61635.0,2011,,213619864.859999
61635.0,2011,413373000,
61635.0,2012,422422000,223877043.84
61635.0,2013,433459000,356805530.24
61635.0,2014,351882000,286744418.04
61635.0,2015,259380000,107029574.88
61635.0,2016,,165329409.42
61635.0,2016,241555000,
61635.0,2017,,184122110.7
61635.0,2017,230324000,
61635.0,2018,271350000,226729430.95
61635.0,2019,310245000,324671870.49
61635.0,2020,373015000,277493867.1
61635.0,2021,547679000,313884030.6
61635.0,2022,,334552032.0
61635.0,2022,601340000,
61635.0,2023,,303029570.96
267054.0,2009,3833176000,
267054.0,2010,,
267054.0,2010,4234156000,
267054.0,2011,,
267054.0,2011,,
267054.0,2012,,
267054.0,2012,4851025000,
267054.0,2013,,
267054.0,2013,7676954000,
267054.0,2014,,
267054.0,2014,12738511000,
267054.0,2015,,
267054.0,2015,12910860000,
267054.0,2016,,
267054.0,2016,18039955000,
267054.0,2017,,
267054.0,2017,59501947000,
267054.0,2018,,
267054.0,2018,96210336000,
267054.0,2019,,
267054.0,2019,141975675000,
267054.0,2020,,
267054.0,2020,217569238000,
267054.0,2021,,
267054.0,2021,431787800000,
267054.0,2022,,
267054.0,2022,450964969000,
267054.0,2023,,
63892.0,2009,21532000000,
63892.0,2010,23050000000,28220485895.5
63892.0,2011,,28817058713.9499
63892.0,2011,25515000000,
63892.0,2012,31484000000,29180550808.6999
63892.0,2013,34812000000,34073332399.59
63892.0,2014,33562000000,27455602652.24
63892.0,2015,25970000000,12584362951.06
63892.0,2016,,14140474807.6799
63892.0,2016,21140000000,
63892.0,2017,,13688760240.22
63892.0,2017,20206000000,
63892.0,2018,19796000000,9852520283.6
63892.0,2019,13149000000,9665094580.95
63892.0,2020,9929000000,5330865433.96
63892.0,2021,9550000000,5293874350.7
63892.0,2022,,8205695593.51
63892.0,2022,10135000000,
63892.0,2023,,7988839478.88
29722.0,2009,219769000,
29722.0,2010,222555000,190144474.08
29722.0,2011,,119955774.61
29722.0,2011,197625000,
29722.0,2012,185182000,125421805.44
29722.0,2013,192265000,219075010.03
29722.0,2014,191179000,234924537.91
29722.0,2015,183962000,204303057.119999
29722.0,2016,,282172737.6
29722.0,2016,185944000,
29722.0,2017,,279037275.0
29722.0,2017,185199000,
29722.0,2018,179890000,248597977.6
29722.0,2019,205925000,362085069.16
29722.0,2020,216473000,
29722.0,2020,216473000,391475872.41
29722.0,2021,,533066081.52
36003.0,2009,6911000,
36003.0,2010,8364000,53322832.08
36003.0,2011,,59087812.5
36003.0,2011,9465000,
36003.0,2012,29316000,57302639.04
36003.0,2013,25886000,48230608.08
36003.0,2014,22616000,39533192.6
36003.0,2015,20034000,17765725.0
36003.0,2016,,9697030.0
36003.0,2016,16500000,
36003.0,2017,,13006870.2
36003.0,2017,15424000,
36003.0,2018,7962000,6276438.0
36003.0,2019,34909000,7145294.99999999
36003.0,2020,29143000,39789403.0599999
36003.0,2021,28607000,31740529.44
36003.0,2022,,3623967.2448
36003.0,2022,5661000,
36003.0,2023,,2959688.556
163429.0,2009,10953000000,
163429.0,2010,10013000000,679425724.34
163429.0,2011,,339908849.52
163429.0,2011,8311000000,
163429.0,2012,4535000000,1912984619.48
163429.0,2013,5291000000,2154133987.75999
163429.0,2014,11232000000,3774994155.25
163429.0,2015,11459000000,1615422434.2
163429.0,2016,,992302823.88
163429.0,2016,13053000000,
163429.0,2017,,1556839858.35
163429.0,2017,11771000000,
163429.0,2018,,1849648095.12
163429.0,2009,10953000000,
163429.0,2010,10013000000,679425724.34
163429.0,2011,,339908849.52
163429.0,2011,8311000000,
163429.0,2012,4535000000,1912984619.48
163429.0,2013,5291000000,2154133987.75999
163429.0,2014,11232000000,3774994155.25
163429.0,2015,11459000000,1615422434.2
163429.0,2016,,992302823.88
163429.0,2016,13053000000,
163429.0,2017,,1556839858.35
163429.0,2017,11771000000,
163429.0,2018,,1849648095.12
13602.0,2010,251272000,
13602.0,2010,,292890022.56
13602.0,2011,276409000,
13602.0,2011,,376409312.4
13602.0,2012,310940000,
13602.0,2012,,365009387.08
13602.0,2013,358265000,
13602.0,2013,,380801803.669999
13602.0,2014,363297000,
13602.0,2014,,460280793.6
13602.0,2015,399897000,
13602.0,2015,,225449522.54
13602.0,2016,406296000,
13602.0,2016,,345688000.0
13602.0,2017,424258000,
13602.0,2017,,319250223.65
13602.0,2018,455584000,
13602.0,2018,,490911274.35
13602.0,2019,492542000,
13602.0,2019,,724284670.86
13602.0,2020,667324000,
13602.0,2020,,727651336.32
13602.0,2021,822159000,
13602.0,2021,,666517606.4
13602.0,2022,1154696000,
13602.0,2022,,460212378.4
13602.0,2023,1414737000,
13602.0,2023,,484385335.26
61544.0,2010,259164000,
61544.0,2010,,118263426.3
61544.0,2011,248051000,
61544.0,2011,,116822858.88
61544.0,2012,233164000,
61544.0,2012,,123447797.91
61544.0,2013,211530000,
61544.0,2013,,109243092.38
61544.0,2014,,113625216.25
61544.0,2015,237372000,
61544.0,2015,,95959465.35
61544.0,2016,255008000,
61544.0,2016,,116386995.2
61544.0,2017,,49678612.5
61544.0,2018,84708000,
61544.0,2018,,28479867.9
61544.0,2019,90685000,
61544.0,2019,,67845012.45
61544.0,2020,,85906366.2
29870.0,2009,338448000,
29870.0,2010,429438000,312481792.8
29870.0,2011,,254307281.8
29870.0,2011,707499000,
29870.0,2012,705994000,241720977.6
29870.0,2013,697349000,317702929.32
29870.0,2014,700748000,195262378.08
29870.0,2015,511880000,127410293.28
29870.0,2016,,265644345.04
29870.0,2016,556068000,
29870.0,2017,,235777986.29
29870.0,2017,604158000,
29870.0,2018,760740000,157089853.73
29870.0,2019,649555000,197043642.88
29870.0,2020,640605000,147628417.0
29870.0,2021,1023572000,260317067.0
29870.0,2022,,373743116.56
29870.0,2022,891627000,
29870.0,2023,,742540551.4
17715.0,2009,892831000,
17715.0,2010,957332000,38953876.0
17715.0,2011,,34620171.5
17715.0,2011,1012132000,
17715.0,2012,1059737000,67139645.3
17715.0,2013,1150641000,93572018.82
17715.0,2014,1213846000,114208436.575
17715.0,2015,1456334000,157136181.84
17715.0,2016,,239692453.0
17715.0,2016,1611587000,
17715.0,2017,,244352205.56
17715.0,2017,1709205000,
17715.0,2018,1807480000,190329428.75
17715.0,2019,1886545000,223982594.64
17715.0,2020,2162199000,166129339.52
17715.0,2021,2418572000,205184721.12
17715.0,2022,,227399599.0
17715.0,2022,2195052000,
17715.0,2023,,247585216.2
66261.0,2010,267147000,
66261.0,2010,,270128930.85
66261.0,2011,305191000,
66261.0,2011,,227513788.1
66261.0,2012,298852000,
66261.0,2012,,312254724.26
66261.0,2013,264676000,
66261.0,2013,,399364240.64
66261.0,2014,254113000,
66261.0,2014,,207950160.22
66261.0,2015,212351000,
66261.0,2015,,227100323.4
66261.0,2016,177669000,
66261.0,2016,,80976231.1
66261.0,2017,116067000,
66261.0,2017,,139530213.03
66261.0,2018,119330000,
66261.0,2018,,45043905.06
66261.0,2019,78743000,
66261.0,2019,,154372107.15
66261.0,2020,72890000,
66261.0,2020,,52578493.8
66261.0,2021,50408000,
66261.0,2021,,78464404.8
66261.0,2022,55196000,
66261.0,2022,,23644253.6638
66261.0,2023,42659000,
66261.0,2023,,7106805.75
29705.0,2010,305851000,
29705.0,2010,,660088970.0
29705.0,2011,327847000,
29705.0,2011,,400551842.79
29705.0,2012,315967000,
29705.0,2012,,468274848.84
29705.0,2013,319418000,
29705.0,2013,,673239318.08
29705.0,2014,357451000,
29705.0,2014,,544904825.4
29705.0,2015,379479000,
29705.0,2015,,383292814.56
29705.0,2016,349948000,
29705.0,2016,,471115318.299999
29705.0,2017,355433000,
29705.0,2017,,406049181.23
29705.0,2018,358800000,
29705.0,2018,,331968018.2
29705.0,2019,349216000,
29705.0,2019,,274948573.409999
29705.0,2020,372651000,
29705.0,2020,,210442663.079999
29705.0,2021,375164000,
29705.0,2021,,229598032.85
29705.0,2022,440876000,
29705.0,2022,,128213352.96
29705.0,2023,468104000,
29705.0,2023,,391607807.68
22367.0,2009,7556235,
22367.0,2010,11015012,8113934.34
22367.0,2011,,6128850.458
22367.0,2011,16099440,
22367.0,2012,19481729,2789993.269
22367.0,2013,19925607,4070250.54
22367.0,2014,18092951,1390668.9345
22367.0,2015,3819261,1017562.635
22367.0,2016,,580389.4265
22367.0,2016,3402056,
22367.0,2017,,682811.09
22367.0,2017,3044761,
22367.0,2018,8003207,1775308.834
22367.0,2019,9406009,31153255.98125
22367.0,2020,206077922,63275180.459
22367.0,2021,421769323,193103987.76
22367.0,2022,,48253722.7799999
22367.0,2022,708068296,
22367.0,2023,,44484287.05
105786.0,2009,94708403,
105786.0,2010,178734708,239862452.0
105786.0,2011,,266327342.22
105786.0,2011,304111298,
105786.0,2012,559457000,1609908469.53
105786.0,2013,987824000,2856411081.28999
105786.0,2014,950548000,752723202.39
105786.0,2015,1100691000,917398318.74
105786.0,2016,,1214069416.84
105786.0,2016,1006942000,
105786.0,2017,,648396245.08
105786.0,2017,1006312000,
105786.0,2018,953911000,508213028.52
105786.0,2019,812305000,551320870.23
105786.0,2020,910499000,533315333.359999
105786.0,2021,991618000,849296565.449999
105786.0,2022,,1170604302.9
105786.0,2022,917700000,
105786.0,2023,,1153278536.79
63402.0,2009,481988000,
63402.0,2010,489727000,40437189.0
63402.0,2011,,48528020.0
63402.0,2011,629651000,
63402.0,2012,,50812130.1
63402.0,2013,817860000,77772468.25
63402.0,2014,779425000,79884246.22
63402.0,2015,797412000,81138622.5
63402.0,2016,,104727493.9
63402.0,2016,819566000,
63402.0,2017,,114641848.6
63402.0,2017,843037000,
63402.0,2018,847552000,113375772.5
63402.0,2019,876792000,120659192.0
63402.0,2020,1028452000,116778948.0
63402.0,2021,1112402000,140672832.0
63402.0,2022,,122128776.0
63402.0,2022,1125763000,
63402.0,2023,,97231442.0
25014.0,2009,,
25014.0,2010,,
25014.0,2010,,132329162.55
25014.0,2011,,
25014.0,2011,,137636256.8
25014.0,2012,,
25014.0,2012,,148623999.46
25014.0,2013,189286716,
25014.0,2013,,127396071.7
25014.0,2014,195083702,
25014.0,2014,,137389272.9486
25014.0,2015,197253460,
25014.0,2015,,143725291.94
25014.0,2016,190639770,
25014.0,2016,,133886373.33
25014.0,2017,192823637,
25014.0,2017,,131211461.56
25014.0,2018,186265546,
25014.0,2018,,117587330.25
25014.0,2019,192035690,
25014.0,2019,,127867420.2
25014.0,2020,192243566,
25014.0,2020,,129557297.999999
25014.0,2021,197262713,
25014.0,2021,,135753516.6
25014.0,2022,178250387,
25014.0,2022,,106884770.85
25014.0,2023,,108433825.5
24856.0,2009,9698559000,
24856.0,2010,11592630000,29422084252.08
24856.0,2011,,30744128765.76
24856.0,2011,17303134000,
24856.0,2012,21239838000,55649256690.95
24856.0,2013,22579000000,115234491399.999
24856.0,2014,34664000000,141295740000.0
24856.0,2015,51716000000,145833023021.34
24856.0,2016,,94343029244.31
24856.0,2016,56977000000,
24856.0,2017,,93581110873.44
24856.0,2017,70283000000,
24856.0,2018,63675000000,80915906730.5999
24856.0,2019,61627000000,82209161867.76
24856.0,2020,68407000000,73030549960.7399
24856.0,2021,67952000000,91080787532.42
24856.0,2022,,107676834093.25
24856.0,2022,63171000000,
24856.0,2023,,100941853913.95
24890.0,2010,20458155,
24890.0,2010,,16056939.6646
24890.0,2011,18358322,
24890.0,2011,,14282794.8
24890.0,2012,18312837,
24890.0,2012,,56501486.6
24890.0,2013,17359927,
24890.0,2013,,40519312.68
24890.0,2014,19527869,
24890.0,2014,,94461661.8699999
24890.0,2015,26454248,
24890.0,2015,,73214579.0
24890.0,2016,,81399073.25
24890.0,2017,33369649,
24890.0,2017,,88505543.6999999
24890.0,2018,29020751,
24890.0,2018,,152628181.03
24890.0,2019,29951299,
24890.0,2019,,285762319.099999
24890.0,2020,203823707,
24890.0,2020,,217221850.0
24890.0,2021,198860218,
24890.0,2021,,462460694.3
63018.0,2009,2352683,
63018.0,2010,2686951,11679282.75
63018.0,2011,,5825148.0
63018.0,2011,3668310,
63018.0,2012,5081997,5859345.4
63018.0,2013,5042224,9227020.5
63018.0,2014,6185150,9509603.4
63018.0,2015,3831568,5543867.88
63018.0,2016,,17016606.75
63018.0,2016,5242826,
63018.0,2017,,14057173.2
63018.0,2017,5510925,
63018.0,2018,5277512,6939876.0
63018.0,2019,8373472,15265862.37
63018.0,2019,8373472,
63018.0,2020,,14142931.3
63018.0,2021,,21571108.0
63018.0,2022,,1092475.6
63018.0,2023,,112565.08
60800.0,2009,1590029000,
60800.0,2010,1485924000,657409184.78
60800.0,2011,,917228284.94
60800.0,2011,1571417000,
60800.0,2012,2729697000,1024743999.99999
60800.0,2013,4147472000,3580145999.99999
60800.0,2014,5410328000,2612880000.0
60800.0,2015,5432315000,3082216133.6
60800.0,2016,,3022656939.85
60800.0,2016,5963168000,
60800.0,2017,,3850928227.65
60800.0,2017,6784470000,
60800.0,2018,6572092000,2567185560.9
60800.0,2019,17370000000,3071350313.9
60800.0,2020,13382000000,2356281473.0
60800.0,2021,12541000000,1996477454.01
60800.0,2022,,1079896623.3
60800.0,2022,6704000000,
60800.0,2023,,827595029.52
30710.0,2009,133073000,
30710.0,2010,111624000,150313302.0
30710.0,2011,,80356115.22
30710.0,2011,113843000,
30710.0,2012,80069000,49234549.5599999
30710.0,2013,95923000,161906783.58
30710.0,2014,121487000,250932216.2
30710.0,2015,123313000,265510019.589999
30710.0,2015,123313000,
30710.0,2016,,272364346.8
40323.0,2010,,
40323.0,2010,,35959451.85
40323.0,2011,,
40323.0,2011,,12286089.7499999
40323.0,2012,,
40323.0,2012,,9532524.625
40323.0,2013,,
40323.0,2013,,3866355.625
40323.0,2014,,
40323.0,2014,,1209708.62499999
40323.0,2015,13709065,
40323.0,2015,,503883.449999999
40323.0,2016,13913855,
40323.0,2016,,4246288.19999999
40323.0,2017,4069608,
40323.0,2017,,3259706.45
40323.0,2018,3758552,
40323.0,2018,,2794034.1
40323.0,2019,978134,
40323.0,2019,,2328361.74999999
40323.0,2020,5446981,
40323.0,2020,,8522904.69999999
40323.0,2021,5955735,
40323.0,2021,,5722759.55999999
40323.0,2022,3912128,
40323.0,2022,,2384483.14999999
40323.0,2023,,953793.26
21521.0,2009,729477000,
21521.0,2010,812526000,106992789.0
21521.0,2011,,100348666.5
21521.0,2011,878567000,
21521.0,2012,882427000,124631286.0
21521.0,2013,914934000,162812646.0
21521.0,2014,925048000,163039989.4
21521.0,2015,1162984000,163457875.0
21521.0,2016,,177541573.0
21521.0,2016,1223018000,
21521.0,2017,,219965193.0
21521.0,2017,1361886000,
21521.0,2018,1430712000,194680307.799999
21521.0,2019,1466339000,216791251.5
21521.0,2020,1891674000,219625280.0
21521.0,2021,2143863000,266362401.69
21521.0,2022,,304671154.48
21521.0,2022,2333393000,
21521.0,2023,,304579503.92
24755.0,2010,358281000,
24755.0,2010,,132487555.0
24755.0,2011,351788000,
24755.0,2011,,80409244.24
24755.0,2012,371727000,
24755.0,2012,,195711899.579999
24755.0,2013,374744000,
24755.0,2013,,269861855.8
24755.0,2014,394611000,
24755.0,2014,,503508960.5
24755.0,2015,431935000,
24755.0,2015,,602110644.18
24755.0,2016,391162000,
24755.0,2016,,789221056.41
24755.0,2017,398059000,
24755.0,2017,,714561119.25
24755.0,2018,415853000,
24755.0,2018,,631462755.66
24755.0,2019,391304000,
24755.0,2019,,1039581712.96
24755.0,2020,407457000,
24755.0,2020,,900552573.82
24755.0,2021,398455000,
24755.0,2021,,1034090660.95999
24755.0,2022,447262000,
24755.0,2022,,937366288.199999
24755.0,2023,425287000,
24755.0,2023,,1192219889.28
18037.0,2009,1321795000,
18037.0,2010,1316588000,180441369.019999
18037.0,2011,,224192387.769999
18037.0,2011,1323735000,
18037.0,2012,1286907000,231626738.7
18037.0,2013,1237695000,255606999.69
18037.0,2014,1241963000,253827186.6
18037.0,2015,1223417000,255793083.0
18037.0,2016,,316666588.2
18037.0,2016,1242292000,
18037.0,2017,,292766904.0
18037.0,2017,1276959000,
18037.0,2018,1290893000,325599891.9
18037.0,2019,1654145000,387110371.5
18037.0,2020,2239100000,315693762.56
18037.0,2021,2327648000,411416250.6
18037.0,2022,,354339509.76
18037.0,2022,2454307000,
18037.0,2023,,342613001.38
26233.0,2010,4424501,
26233.0,2010,,3985264.29718069
26233.0,2011,3089984,
26233.0,2011,,1204497.19905817
26233.0,2012,1245210,
26233.0,2012,,655157.862110674
26233.0,2013,481948,
26233.0,2013,,272015.951035781
26233.0,2014,783489,
26233.0,2014,,128255.216044069
26233.0,2015,599735,
26233.0,2015,,41412.2046390635
26233.0,2016,97647,
26233.0,2016,,230436.25465376
26233.0,2017,565264,
26233.0,2017,,25642122.4775383
26233.0,2018,15502977,
26233.0,2018,,28972507.08
26233.0,2019,19423583,
